,team,pass_average,rush_average,pts_average,pts,total,opp
0,Detroit,0.5,0.13,0.27,25.96,0.9,GreenBay
1,GreenBay,0.31,0.0,-0.19,21.71,0.12,Detroit
2,Miami,-0.44,-0.07,-0.28,20.83,-0.79,N.Y.Jets
3,N.Y.Jets,-0.4,-0.64,-0.39,20.46,-1.43,Miami
4,Minnesota,0.22,0.0,0.41,24.5,0.63,Atlanta
5,Atlanta,0.82,-0.41,-0.44,19.84,-0.03,Minnesota
6,N.Y.Giants,-0.07,0.34,-0.41,19.34,-0.14,NewOrleans
7,NewOrleans,-0.43,0.6,0.12,23.12,0.29,N.Y.Giants
8,Philadelphia,-0.14,0.97,0.78,28.59,1.61,Carolina
9,Carolina,-0.88,-0.53,-0.82,18.12,-2.23,Philadelphia
10,Pittsburgh,0.14,0.44,0.5,25.17,1.08,Cleveland
11,Cleveland,0.37,-0.8,-0.71,18.42,-1.14,Pittsburgh
12,TampaBay,0.35,0.09,0.7,27.84,1.14,LasVegas
13,LasVegas,0.58,-0.63,-0.06,21.62,-0.11,TampaBay
14,Tennessee,0.09,0.13,0.07,23.34,0.29,Jacksonville
15,Jacksonville,-0.78,-0.28,0.06,23.34,-1.0,Tennessee
16,Arizona,-0.34,0.46,-0.16,22.12,-0.04,Seattle
17,Seattle,0.5,-0.46,-0.13,22.12,-0.09,Arizona
18,L.A.Rams,-0.09,-0.25,-0.42,19.92,-0.76,Buffalo
19,Buffalo,-0.06,0.53,0.59,26.88,1.06,L.A.Rams
20,SanFrancisco,-0.1,0.56,-0.2,21.25,0.26,Chicago
21,Chicago,-0.6,-0.25,0.03,22.33,-0.82,SanFrancisco
22,KansasCity,-0.05,-0.15,-0.31,19.88,-0.51,L.A.Chargers
23,L.A.Chargers,-0.19,-0.47,-0.31,20.62,-0.97,KansasCity
24,Dallas,0.59,-0.28,0.29,24.5,0.6,Cincinnati
25,Cincinnati,0.44,0.13,0.77,28.09,1.34,Dallas
