,team,pass_average,rush_average,pts_average,pts,total,opp
0,Cincinnati,0.34,-0.22,0.66,26.96,0.78,Cleveland
1,Cleveland,0.39,-0.29,0.03,22.36,0.13,Cincinnati
2,KansasCity,-0.25,-0.19,-0.09,22.46,-0.53,Houston
3,Houston,-0.06,-0.44,-0.26,20.96,-0.76,KansasCity
4,Baltimore,0.53,0.06,0.1,24.39,0.69,Pittsburgh
5,Pittsburgh,0.25,-0.28,0.36,23.86,0.33,Baltimore
6,Atlanta,0.0,0.6,-0.03,22.18,0.57,N.Y.Giants
7,N.Y.Giants,-0.35,-0.15,-0.22,19.64,-0.72,Atlanta
8,Buffalo,0.1,0.37,0.67,27.93,1.14,NewEngland
9,NewEngland,-0.22,0.0,-0.6,19.57,-0.82,Buffalo
10,Carolina,-0.47,-0.19,-0.56,19.75,-1.22,Arizona
11,Arizona,-0.34,0.78,0.52,26.14,0.96,Carolina
12,Chicago,0.02,-0.46,-0.56,19.57,-1.0,Detroit
13,Detroit,0.47,0.62,0.31,27.39,1.4,Chicago
14,Indianapolis,-0.82,-0.04,0.2,23.54,-0.66,Tennessee
15,Tennessee,-0.09,0.35,-0.19,20.82,0.07,Indianapolis
16,N.Y.Jets,0.06,-0.1,0.04,22.18,-0.0,L.A.Rams
17,L.A.Rams,-0.1,-0.2,0.01,22.68,-0.29,N.Y.Jets
18,Washington,-0.53,0.13,-0.13,22.96,-0.53,Philadelphia
19,Philadelphia,-0.75,0.73,0.24,24.43,0.22,Washington
20,L.A.Chargers,-0.13,-0.55,-0.56,19.32,-1.24,Denver
21,Denver,-0.47,-0.03,-0.27,20.82,-0.77,L.A.Chargers
22,Seattle,0.83,-0.81,-0.32,20.25,-0.3,Minnesota
23,Minnesota,0.32,0.22,0.21,24.36,0.75,Seattle
24,LasVegas,0.66,-0.24,-0.05,22.21,0.37,Jacksonville
25,Jacksonville,-0.35,-0.25,0.05,22.82,-0.55,LasVegas
26,Miami,-0.41,-0.34,-0.22,21.29,-0.97,SanFrancisco
27,SanFrancisco,-0.12,0.0,-0.06,22.36,-0.18,Miami
28,Dallas,0.64,-0.5,0.0,22.29,0.14,TampaBay
29,TampaBay,0.57,0.77,0.8,27.96,2.14,Dallas
30,GreenBay,0.34,0.7,0.2,24.68,1.24,NewOrleans
31,NewOrleans,-0.06,-0.06,-0.3,21.29,-0.42,GreenBay
