,team,pass,rush,pts_pot,pts,total,opp
0,Atlanta,2,0,-15,19.15,-13,Tampa Bay
1,Tampa Bay,6,0,4,22.8,10,Atlanta
2,Minnesota,-9,6,1,22.25,-2,N.Y. Jets
3,N.Y. Jets,17,-25,-17,16.9,-25,Minnesota
4,Chicago,-9,0,12,25.799999999999997,3,Carolina
5,Carolina,-15,0,-17,18.55,-32,Chicago
6,Cincinnati,22,-22,10,23.75,10,Baltimore
7,Baltimore,-11,25,23,26.25,37,Cincinnati
8,Houston,4,11,-5,20.3,10,Buffalo
9,Buffalo,-18,-4,20,27.0,-2,Houston
10,Jacksonville,0,18,-16,18.15,2,Indianapolis
11,Indianapolis,9,1,14,24.3,24,Jacksonville
12,New England,-28,4,-5,19.4,-29,Miami
13,Miami,9,-15,-14,16.55,-20,New England
14,Washington,-6,16,14,26.05,24,Cleveland
15,Cleveland,-6,-3,-2,21.0,-11,Washington
16,Denver,-10,4,-4,19.9,-10,Las Vegas
17,Las Vegas,-7,-19,-16,16.65,-42,Denver
18,San Francisco,15,20,21,26.15,56,Arizona
19,Arizona,-10,1,-2,22.25,-11,San Francisco
20,L.A. Rams,19,-17,-2,20.55,0,Green Bay
21,Green Bay,12,30,24,27.4,66,L.A. Rams
22,Seattle,13,-6,3,23.25,10,N.Y. Giants
23,N.Y. Giants,-7,-16,-13,18.15,-36,Seattle
24,Pittsburgh,-3,17,4,22.4,18,Dallas
25,Dallas,7,-29,-10,18.8,-32,Pittsburgh
26,Kansas City,12,-8,-8,20.25,-4,New Orleans
27,New Orleans,2,1,6,24.9,9,Kansas City
