,team,pass_average,rush_average,pts_average,pts,total,opp
0,Cleveland,0.06,-0.79,-0.91,16.2,-1.64,Pittsburgh
1,Pittsburgh,-0.31,0.5,0.28,24.05,0.47,Cleveland
2,Carolina,-0.63,-0.66,-0.66,17.9,-1.95,KansasCity
3,KansasCity,0.28,0.28,0.66,27.5,1.22,Carolina
4,Chicago,-0.04,-0.66,-0.57,18.2,-1.27,Minnesota
5,Minnesota,-0.06,0.13,-0.09,21.55,-0.02,Chicago
6,Houston,-0.28,-0.04,0.37,24.88,0.05,Tennessee
7,Tennessee,-0.72,-0.28,-0.53,19.23,-1.53,Houston
8,Indianapolis,0.15,-0.35,-0.44,19.57,-0.64,Detroit
9,Detroit,0.62,0.78,0.56,28.16,1.96,Indianapolis
10,Miami,-0.16,0.28,-0.28,20.33,-0.16,NewEngland
11,NewEngland,-0.72,-0.34,-0.49,19.33,-1.55,Miami
12,N.Y.Giants,0.16,0.06,-0.16,21.1,0.06,TampaBay
13,TampaBay,-0.13,0.6,0.36,25.05,0.83,N.Y.Giants
14,Washington,0.09,0.78,0.85,28.65,1.72,Dallas
15,Dallas,-0.1,-0.03,-0.31,20.39,-0.44,Washington
16,LasVegas,-0.19,-0.81,-0.67,17.67,-1.67,Denver
17,Denver,-0.41,-0.15,0.29,24.93,-0.27,LasVegas
18,GreenBay,-0.15,0.13,0.25,23.6,0.23,SanFrancisco
19,SanFrancisco,0.32,0.22,0.05,23.15,0.59,GreenBay
20,Seattle,0.62,-0.27,-0.11,22.5,0.24,Arizona
21,Arizona,-0.37,0.69,0.26,23.8,0.58,Seattle
22,L.A.Rams,-0.19,-0.59,-0.46,19.6,-1.24,Philadelphia
23,Philadelphia,0.13,0.53,0.47,24.9,1.13,L.A.Rams
24,L.A.Chargers,0.38,-0.31,0.16,23.32,0.23,Baltimore
25,Baltimore,0.32,0.28,-0.03,22.43,0.57,L.A.Chargers
