,team,pass_average,rush_average,pts_average,pts,total,opp
0,Detroit,0.32,0.5,0.22,26.23,1.04,Chicago
1,Chicago,0.03,-0.54,-0.64,18.37,-1.15,Detroit
2,Dallas,0.07,-0.03,-0.17,21.5,-0.13,N.Y.Giants
3,N.Y.Giants,-0.32,0.38,-0.03,21.91,0.03,Dallas
4,GreenBay,-0.25,0.19,0.11,23.81,0.05,Miami
5,Miami,-0.28,-0.13,-0.44,19.91,-0.85,GreenBay
6,KansasCity,0.0,-0.12,0.6,26.55,0.48,LasVegas
7,LasVegas,0.03,-0.91,-0.53,19.27,-1.41,KansasCity
8,Atlanta,0.16,0.03,-0.48,19.05,-0.29,L.A.Chargers
9,L.A.Chargers,0.0,0.18,0.22,23.5,0.4,Atlanta
10,Cincinnati,0.44,-0.72,-0.07,21.95,-0.35,Pittsburgh
11,Pittsburgh,-0.15,0.4,0.43,24.91,0.68,Cincinnati
12,Jacksonville,-0.62,-0.45,-0.31,20.62,-1.38,Houston
13,Houston,0.63,0.19,0.58,26.24,1.4,Jacksonville
14,Minnesota,0.31,0.06,0.08,23.18,0.45,Arizona
15,Arizona,0.06,-0.16,-0.36,20.05,-0.46,Minnesota
16,NewEngland,-0.13,0.19,-0.47,19.62,-0.41,Indianapolis
17,Indianapolis,0.0,0.03,-0.06,21.84,-0.03,NewEngland
18,N.Y.Jets,-0.03,-0.22,-0.4,20.37,-0.65,Seattle
19,Seattle,0.06,-0.18,-0.06,22.18,-0.18,N.Y.Jets
20,Washington,-0.44,0.1,0.69,27.09,0.35,Tennessee
21,Tennessee,-0.82,0.54,-0.31,20.72,-0.59,Washington
22,Carolina,-0.06,-0.25,-0.16,21.23,-0.47,TampaBay
23,TampaBay,0.5,0.69,0.88,29.5,2.07,Carolina
24,NewOrleans,0.25,0.59,0.45,24.45,1.29,L.A.Rams
25,L.A.Rams,0.66,-0.03,0.02,22.41,0.65,NewOrleans
26,Baltimore,-0.19,0.16,0.13,24.21,0.1,Philadelphia
27,Philadelphia,0.31,0.03,0.5,25.7,0.84,Baltimore
28,Buffalo,-0.35,-0.01,0.55,26.37,0.19,SanFrancisco
29,SanFrancisco,0.28,0.19,-0.19,21.55,0.28,Buffalo
30,Denver,-0.22,0.03,0.1,23.13,-0.09,Cleveland
31,Cleveland,-0.25,-0.72,-0.85,16.87,-1.82,Denver
