,team,pass_average,rush_average,pts_average,pts,total,opp
0,Baltimore,0.32,0.53,0.72,28.33,1.57,Cincinnati
1,Cincinnati,0.78,-0.81,0.48,25.27,0.45,Baltimore
2,Carolina,-0.63,0.09,-0.44,19.38,-0.98,N.Y.Giants
3,N.Y.Giants,0.03,0.41,0.0,24.0,0.44,Carolina
4,Chicago,-0.18,0.09,0.06,22.8,-0.03,NewEngland
5,NewEngland,-0.75,-0.13,-0.77,17.09,-1.65,Chicago
6,Indianapolis,-0.22,-0.03,-0.44,20.05,-0.69,Buffalo
7,Buffalo,0.25,0.44,0.25,25.16,0.94,Indianapolis
8,Jacksonville,0.41,-0.63,-0.34,20.21,-0.56,Minnesota
9,Minnesota,0.63,-0.15,0.69,27.06,1.17,Jacksonville
10,KansasCity,-0.18,-0.16,-0.22,21.63,-0.56,Denver
11,Denver,-0.54,-0.38,-0.6,19.35,-1.52,KansasCity
12,NewOrleans,-0.15,0.31,0.14,23.5,0.3,Atlanta
13,Atlanta,0.65,0.22,0.44,25.0,1.31,NewOrleans
14,TampaBay,0.32,-0.12,0.35,25.77,0.55,SanFrancisco
15,SanFrancisco,0.79,0.47,0.68,26.62,1.94,TampaBay
16,Washington,0.28,0.03,-0.03,22.05,0.28,Pittsburgh
17,Pittsburgh,-0.63,0.66,-0.07,22.19,-0.04,Washington
18,L.A.Chargers,-0.62,-0.28,0.09,23.25,-0.81,Tennessee
19,Tennessee,-0.63,-0.12,-0.81,15.06,-1.56,L.A.Chargers
20,Arizona,-0.81,0.43,-0.17,21.66,-0.55,N.Y.Jets
21,N.Y.Jets,0.31,-0.25,-0.19,21.39,-0.13,Arizona
22,Dallas,0.16,-0.82,-0.34,20.38,-1.0,Philadelphia
23,Philadelphia,0.0,0.88,0.63,26.5,1.51,Dallas
24,Houston,0.62,-0.12,-0.36,20.41,0.14,Detroit
25,Detroit,-0.38,0.18,0.41,27.23,0.21,Houston
26,L.A.Rams,-0.16,-0.4,-0.12,22.31,-0.68,Miami
27,Miami,-0.05,0.47,-0.27,19.88,0.15,L.A.Rams
