,team,pass,rush,pts_pot,pts,total,opp
0,L.A.Rams,0.56,-0.69,-0.44,20.07,-0.57,Minnesota
1,Minnesota,0.12,0.06,0.47,25.86,0.65,L.A.Rams
2,Cleveland,0.22,-0.81,-0.03,21.69,-0.62,Baltimore
3,Baltimore,0.15,0.53,0.5,26.75,1.18,Cleveland
4,Detroit,-0.22,0.18,0.89,30.71,0.85,Tennessee
5,Tennessee,-0.1,-0.38,-0.62,18.14,-1.1,Detroit
6,Houston,0.56,0.38,0.0,22.5,0.94,Indianapolis
7,Indianapolis,-0.53,0.07,-0.11,22.12,-0.57,Houston
8,Jacksonville,0.22,-0.19,-0.28,21.38,-0.25,GreenBay
9,GreenBay,0.57,0.13,0.73,27.5,1.43,Jacksonville
10,Miami,0.0,0.56,-0.25,19.74,0.31,Arizona
11,Arizona,-0.75,0.28,-0.08,22.34,-0.55,Miami
12,NewEngland,-0.94,-0.19,-0.55,18.38,-1.68,N.Y.Jets
13,N.Y.Jets,0.31,-0.25,-0.13,21.69,-0.07,NewEngland
14,TampaBay,0.41,0.34,0.49,26.88,1.24,Atlanta
15,Atlanta,0.79,0.15,0.5,25.44,1.44,TampaBay
16,Washington,0.06,0.35,0.03,23.25,0.44,Chicago
17,Chicago,-0.54,0.22,-0.16,22.08,-0.48,Washington
18,L.A.Chargers,0.15,0.25,0.03,22.3,0.43,NewOrleans
19,NewOrleans,-0.34,-0.31,-0.47,18.06,-1.12,L.A.Chargers
20,Seattle,0.47,-0.44,-0.22,21.0,-0.19,Buffalo
21,Buffalo,0.0,0.54,0.46,26.56,1.0,Seattle
22,Cincinnati,0.03,-0.62,-0.11,21.62,-0.7,Philadelphia
23,Philadelphia,-0.06,0.72,0.39,24.9,1.05,Cincinnati
24,Denver,-0.16,0.54,0.38,27.75,0.76,Carolina
25,Carolina,-0.79,-0.53,-0.83,15.25,-2.15,Denver
26,LasVegas,-0.12,-0.88,-0.66,17.79,-1.66,KansasCity
27,KansasCity,-0.22,0.18,0.56,25.48,0.52,LasVegas
28,SanFrancisco,0.47,0.86,0.72,27.27,2.05,Dallas
29,Dallas,0.35,-0.81,-0.16,22.09,-0.62,SanFrancisco
30,Pittsburgh,-0.62,0.47,-0.16,22.14,-0.31,N.Y.Giants
31,N.Y.Giants,-0.04,-0.72,-0.91,14.29,-1.67,Pittsburgh
