,team,pass,rush,pts_pot,pts,total,opp
0,New Orleans,-17,1,-2,21.9,-18,Denver
1,Denver,1,-3,-2,21.6,-4,New Orleans
2,Jacksonville,5,0,-1,21.3,4,New England
3,New England,0,0,0,21.75,0,Jacksonville
4,Atlanta,5,6,14,24.9,25,Seattle
5,Seattle,5,-4,3,23.4,4,Atlanta
6,Buffalo,-25,-2,6,24.75,-21,Tennessee
7,Tennessee,-14,8,-10,20.1,-16,Buffalo
8,Cleveland,-17,0,-4,20.55,-21,Cincinnati
9,Cincinnati,3,-5,10,24.85,8,Cleveland
10,Green Bay,-8,11,6,24.75,9,Houston
11,Houston,23,-6,-5,22.0,12,Green Bay
12,Indianapolis,-14,1,1,22.9,-12,Miami
13,Miami,3,13,-14,17.6,2,Indianapolis
14,Minnesota,9,-17,3,23.0,-5,Detroit
15,Detroit,26,-2,2,22.7,26,Minnesota
16,N.Y. Giants,2,-8,-15,19.2,-21,Philadelphia
17,Philadelphia,0,9,-8,20.7,1,N.Y. Giants
18,L.A. Rams,-2,-3,5,23.0,0,Las Vegas
19,Las Vegas,5,1,2,23.0,8,L.A. Rams
20,Washington,5,25,30,31.75,60,Carolina
21,Carolina,-1,0,-6,20.7,-7,Washington
22,San Francisco,9,2,-2,22.0,9,Kansas City
23,Kansas City,5,-9,-3,22.65,-7,San Francisco
24,Pittsburgh,-25,8,-13,19.35,-30,N.Y. Jets
25,N.Y. Jets,3,-26,-22,16.55,-45,Pittsburgh
26,Tampa Bay,23,-7,21,27.25,37,Baltimore
27,Baltimore,20,10,15,26.5,45,Tampa Bay
28,Arizona,-16,-1,-16,17.7,-33,L.A. Chargers
29,L.A. Chargers,-11,19,1,22.7,9,Arizona
