,PLAYER,LINE,ACTUAL,DIFF,STAT,MIN,TEAMODDS,TEAM
0,Jayson Tatum,27,28.4,1.3999999999999986,PTS,36.4,0.43000000000000005,Boston Celtics
1,Cade Cunningham,22,23.5,1.5,PTS,36.0,-0.5499999999999999,Detroit Pistons
2,Jaden Ivey,16,18.0,2.0,PTS,30.9,-0.5499999999999999,Detroit Pistons
3,Jalen Duren,9,8.9,-0.09999999999999964,PTS,23.8,-0.5499999999999999,Detroit Pistons
4,Anthony Davis,26,27.8,1.8000000000000007,PTS,35.4,-0.35,Los Angeles Lakers
5,Tyler Herro,24,23.7,-0.3000000000000007,PTS,35.1,0.0,Miami Heat
6,LeBron James,22,22.0,0.0,PTS,34.9,-0.35,Los Angeles Lakers
7,Jimmy Butler,19,18.9,-0.10000000000000142,PTS,31.9,0.0,Miami Heat
8,Bam Adebayo,17,15.6,-1.4000000000000004,PTS,35.3,0.0,Miami Heat
9,Austin Reaves,16,16.7,0.6999999999999993,PTS,33.7,-0.35,Los Angeles Lakers
10,Rui Hachimura,12,11.9,-0.09999999999999964,PTS,31.9,-0.35,Los Angeles Lakers
11,Duncan Robinson,10,10.3,0.3000000000000007,PTS,21.9,0.0,Miami Heat
12,Franz Wagner,27,23.7,-3.3000000000000007,PTS,32.8,-0.39999999999999997,Orlando Magic
13,Tyrese Maxey,27,25.5,-1.5,PTS,36.2,-0.9299999999999999,Philadelphia 76ers
14,Jalen Suggs,16,15.2,-0.8000000000000007,PTS,29.6,-0.39999999999999997,Orlando Magic
15,Wendell Carter Jr.,10,8.2,-1.8000000000000007,PTS,24.9,-0.39999999999999997,Orlando Magic
16,Goga Bitadze,9,8.2,-0.8000000000000007,PTS,22.2,-0.39999999999999997,Orlando Magic
17,Pascal Siakam,21,20.4,-0.6000000000000014,PTS,34.2,0.28,Indiana Pacers
18,Bennedict Mathurin,19,18.5,-0.5,PTS,32.6,0.28,Indiana Pacers
19,Cameron Johnson,19,18.1,-0.8999999999999986,PTS,32.5,0.30000000000000004,Brooklyn Nets
20,Tyrese Haliburton,19,17.6,-1.3999999999999986,PTS,35.1,0.28,Indiana Pacers
21,Myles Turner,16,15.8,-0.1999999999999993,PTS,32.5,0.28,Indiana Pacers
22,T.J. McConnell,12,10.2,-1.8000000000000007,PTS,19.2,0.28,Indiana Pacers
23,Obi Toppin,9,9.6,0.5999999999999996,PTS,19.8,0.28,Indiana Pacers
24,Giannis Antetokounmpo,33,32.7,-0.29999999999999716,PTS,34.8,0.43999999999999995,Milwaukee Bucks
25,Damian Lillard,25,26.0,1.0,PTS,35.9,0.43999999999999995,Milwaukee Bucks
26,Trae Young,22,20.9,-1.1000000000000014,PTS,35.7,0.24,Atlanta Hawks
27,Jalen Johnson,19,20.0,1.0,PTS,36.2,0.24,Atlanta Hawks
28,De'Andre Hunter,16,18.5,2.5,PTS,27.4,0.24,Atlanta Hawks
29,Bobby Portis,13,12.8,-0.1999999999999993,PTS,23.9,0.43999999999999995,Milwaukee Bucks
30,Brook Lopez,13,12.3,-0.6999999999999993,PTS,32.8,0.43999999999999995,Milwaukee Bucks
31,Dyson Daniels,12,13.8,1.8000000000000007,PTS,33.8,0.24,Atlanta Hawks
32,Zaccharie Risacher,11,11.6,0.5999999999999996,PTS,24.3,0.24,Atlanta Hawks
33,Clint Capela,10,10.6,0.5999999999999996,PTS,22.8,0.24,Atlanta Hawks
34,Anthony Edwards,26,26.7,0.6999999999999993,PTS,36.9,-0.5,Minnesota Timberwolves
35,James Harden,23,22.3,-0.6999999999999993,PTS,34.3,-0.5700000000000001,LA Clippers
36,Norman Powell,20,23.9,3.8999999999999986,PTS,32.4,-0.5700000000000001,LA Clippers
37,Julius Randle,19,21.0,2.0,PTS,33.8,-0.5,Minnesota Timberwolves
38,Ivica Zubac,14,15.0,1.0,PTS,32.5,-0.5700000000000001,LA Clippers
39,Mike Conley,11,8.5,-2.5,PTS,25.8,-0.5,Minnesota Timberwolves
40,Rudy Gobert,10,10.7,0.6999999999999993,PTS,34.3,-0.5,Minnesota Timberwolves
41,Jaden McDaniels,10,9.9,-0.09999999999999964,PTS,30.1,-0.5,Minnesota Timberwolves
42,Jalen Duren,9,9.4,0.40000000000000036,REB,23.8,0.33999999999999997,Detroit Pistons
43,Jayson Tatum,9,8.6,-0.40000000000000036,REB,36.4,-0.20000000000000007,Boston Celtics
44,Cade Cunningham,6,7.1,1.0999999999999996,REB,36.0,0.33999999999999997,Detroit Pistons
45,Jaden Ivey,4,4.3,0.2999999999999998,REB,30.9,0.33999999999999997,Detroit Pistons
46,Anthony Davis,13,11.5,-1.5,REB,35.4,0.03,Los Angeles Lakers
47,Bam Adebayo,11,9.8,-1.1999999999999993,REB,35.3,-0.18,Miami Heat
48,LeBron James,8,8.0,0.0,REB,34.9,0.03,Los Angeles Lakers
49,Tyler Herro,6,5.2,-0.7999999999999998,REB,35.1,-0.18,Miami Heat
50,Jimmy Butler,5,5.1,0.09999999999999964,REB,31.9,-0.18,Miami Heat
51,Rui Hachimura,5,5.3,0.2999999999999998,REB,31.9,0.03,Los Angeles Lakers
52,Austin Reaves,4,3.5,-0.5,REB,33.7,0.03,Los Angeles Lakers
53,Duncan Robinson,3,2.2,-0.7999999999999998,REB,21.9,-0.18,Miami Heat
54,Goga Bitadze,9,7.1,-1.9000000000000004,REB,22.2,-0.09999999999999998,Orlando Magic
55,Wendell Carter Jr.,8,7.8,-0.20000000000000018,REB,24.9,-0.09999999999999998,Orlando Magic
