,PLAYER,LINE,ACTUAL,DIFF,STAT,MIN,TEAMODDS,TEAM
0,Brandon Miller,28,21.7,-6.300000000000001,PTS,34.1,-0.45999999999999996,Charlotte Hornets
1,Donovan Mitchell,25,24.5,-0.5,PTS,31.7,0.43000000000000005,Cleveland Cavaliers
2,Darius Garland,19,20.5,1.5,PTS,30.1,0.43000000000000005,Cleveland Cavaliers
3,Evan Mobley,17,17.9,0.8999999999999986,PTS,31.3,0.43000000000000005,Cleveland Cavaliers
4,Jarrett Allen,12,13.8,1.8000000000000007,PTS,29.7,0.43000000000000005,Cleveland Cavaliers
5,Nick Richards,11,11.9,0.9000000000000004,PTS,27.0,-0.45999999999999996,Charlotte Hornets
6,Cody Martin,10,8.5,-1.5,PTS,25.4,-0.45999999999999996,Charlotte Hornets
7,Josh Green,10,7.0,-3.0,PTS,27.0,-0.45999999999999996,Charlotte Hornets
8,Isaac Okoro,7,6.0,-1.0,PTS,20.9,0.43000000000000005,Cleveland Cavaliers
9,Shai Gilgeous-Alexander,31,29.8,-1.1999999999999993,PTS,34.1,0.41,Oklahoma City Thunder
10,Jalen Williams,23,21.7,-1.3000000000000007,PTS,31.7,0.41,Oklahoma City Thunder
11,Brandon Ingram,19,23.2,4.199999999999999,PTS,33.9,-0.94,New Orleans Pelicans
12,CJ McCollum,18,21.4,3.3999999999999986,PTS,33.0,-0.94,New Orleans Pelicans
13,Dejounte Murray,18,13.8,-4.199999999999999,PTS,31.8,-0.94,New Orleans Pelicans
14,Trey Murphy III,15,17.5,2.5,PTS,32.6,-0.94,New Orleans Pelicans
15,Isaiah Hartenstein,11,11.7,0.6999999999999993,PTS,29.7,0.41,Oklahoma City Thunder
16,Luguentz Dort,9,9.6,0.5999999999999996,PTS,29.2,0.41,Oklahoma City Thunder
17,Herbert Jones,9,7.8,-1.2000000000000002,PTS,28.9,-0.94,New Orleans Pelicans
18,Jordan Poole,22,20.0,-2.0,PTS,29.8,-0.13,Washington Wizards
19,Jamal Murray,19,17.8,-1.1999999999999993,PTS,36.0,0.75,Denver Nuggets
20,Michael Porter Jr.,19,19.0,0.0,PTS,35.6,0.75,Denver Nuggets
21,Aaron Gordon,15,15.1,0.09999999999999964,PTS,30.3,0.75,Denver Nuggets
22,Christian Braun,14,15.4,1.4000000000000004,PTS,35.2,0.75,Denver Nuggets
23,Bilal Coulibaly,11,11.8,0.8000000000000007,PTS,34.6,-0.13,Washington Wizards
24,Alexandre Sarr,11,10.6,-0.40000000000000036,PTS,26.8,-0.13,Washington Wizards
25,Karl-Anthony Towns,26,25.2,-0.8000000000000007,PTS,33.8,0.35,New York Knicks
26,Jalen Brunson,25,25.1,0.10000000000000142,PTS,33.8,0.35,New York Knicks
27,Cade Cunningham,23,23.7,0.6999999999999993,PTS,35.9,-0.36999999999999994,Detroit Pistons
28,OG Anunoby,17,17.7,0.6999999999999993,PTS,36.4,0.35,New York Knicks
29,Mikal Bridges,17,16.5,-0.5,PTS,38.2,0.35,New York Knicks
30,Jaden Ivey,16,17.7,1.6999999999999993,PTS,30.6,-0.36999999999999994,Detroit Pistons
31,Josh Hart,14,13.9,-0.09999999999999964,PTS,37.2,0.35,New York Knicks
32,Malik Beasley,13,15.7,2.6999999999999993,PTS,28.5,-0.36999999999999994,Detroit Pistons
33,Tobias Harris,13,14.1,1.0999999999999996,PTS,32.5,-0.36999999999999994,Detroit Pistons
34,Tim Hardaway Jr.,9,9.7,0.6999999999999993,PTS,27.5,-0.36999999999999994,Detroit Pistons
35,Jalen Duren,9,8.7,-0.3000000000000007,PTS,23.9,-0.36999999999999994,Detroit Pistons
36,Kyrie Irving,24,24.1,0.10000000000000142,PTS,34.9,0.6699999999999999,Dallas Mavericks
37,RJ Barrett,24,23.6,-0.3999999999999986,PTS,34.4,-0.19000000000000006,Toronto Raptors
38,Scottie Barnes,22,21.2,-0.8000000000000007,PTS,33.7,-0.19000000000000006,Toronto Raptors
39,Jakob Poeltl,15,16.0,1.0,PTS,32.7,-0.19000000000000006,Toronto Raptors
40,Klay Thompson,12,12.6,0.5999999999999996,PTS,27.7,0.6699999999999999,Dallas Mavericks
41,Daniel Gafford,12,12.8,0.8000000000000007,PTS,21.1,0.6699999999999999,Dallas Mavericks
42,Dereck Lively II,9,9.1,0.09999999999999964,PTS,22.9,0.6699999999999999,Dallas Mavericks
43,Devin Booker,29,25.1,-3.8999999999999986,PTS,36.9,-0.2799999999999999,Phoenix Suns
44,Tyler Herro,24,24.1,0.10000000000000142,PTS,34.7,0.0,Miami Heat
45,Bradley Beal,19,18.0,-1.0,PTS,33.3,-0.2799999999999999,Phoenix Suns
46,Jimmy Butler,19,18.7,-0.3000000000000007,PTS,31.7,0.0,Miami Heat
47,Bam Adebayo,19,15.6,-3.4000000000000004,PTS,34.7,0.0,Miami Heat
48,Tyus Jones,12,11.8,-0.1999999999999993,PTS,32.3,-0.2799999999999999,Phoenix Suns
49,Jayson Tatum,28,28.7,0.6999999999999993,PTS,36.4,0.45000000000000007,Boston Celtics
50,Jaylen Brown,25,25.2,0.1999999999999993,PTS,36.2,0.45000000000000007,Boston Celtics
51,Ja Morant,21,20.9,-0.10000000000000142,PTS,27.7,0.19999999999999996,Memphis Grizzlies
52,Jaren Jackson Jr.,19,21.7,2.6999999999999993,PTS,28.3,0.19999999999999996,Memphis Grizzlies
53,Derrick White,15,17.6,2.6000000000000014,PTS,34.5,0.45000000000000007,Boston Celtics
54,Jrue Holiday,11,12.1,1.0999999999999996,PTS,31.3,0.45000000000000007,Boston Celtics
55,Jarrett Allen,12,10.5,-1.5,REB,29.7,-0.38,Cleveland Cavaliers
56,Evan Mobley,10,9.3,-0.6999999999999993,REB,31.3,-0.38,Cleveland Cavaliers
57,Nick Richards,9,9.8,0.8000000000000007,REB,27.0,0.25,Charlotte Hornets
58,Brandon Miller,6,5.2,-0.7999999999999998,REB,34.1,0.25,Charlotte Hornets
59,Cody Martin,5,4.6,-0.40000000000000036,REB,25.4,0.25,Charlotte Hornets
60,Donovan Mitchell,5,4.8,-0.20000000000000018,REB,31.7,-0.38,Cleveland Cavaliers
61,Josh Green,4,2.6,-1.4,REB,27.0,0.25,Charlotte Hornets
62,Isaac Okoro,3,2.3,-0.7000000000000002,REB,20.9,-0.38,Cleveland Cavaliers
63,Darius Garland,3,2.3,-0.7000000000000002,REB,30.1,-0.38,Cleveland Cavaliers
64,Isaiah Hartenstein,13,12.9,-0.09999999999999964,REB,29.7,0.13,Oklahoma City Thunder
65,Shai Gilgeous-Alexander,6,5.4,-0.5999999999999996,REB,34.1,0.13,Oklahoma City Thunder
66,Brandon Ingram,6,5.8,-0.20000000000000018,REB,33.9,0.4,New Orleans Pelicans
67,Jalen Williams,6,6.1,0.09999999999999964,REB,31.7,0.13,Oklahoma City Thunder
68,Dejounte Murray,6,6.0,0.0,REB,31.8,0.4,New Orleans Pelicans
69,Trey Murphy III,5,4.6,-0.40000000000000036,REB,32.6,0.4,New Orleans Pelicans
70,CJ McCollum,4,3.7,-0.2999999999999998,REB,33.0,0.4,New Orleans Pelicans
71,Luguentz Dort,4,4.5,0.5,REB,29.2,0.13,Oklahoma City Thunder
72,Herbert Jones,4,3.4,-0.6000000000000001,REB,28.9,0.4,New Orleans Pelicans
73,Michael Porter Jr.,8,7.2,-0.7999999999999998,REB,35.6,0.56,Denver Nuggets
74,Aaron Gordon,7,6.4,-0.5999999999999996,REB,30.3,0.56,Denver Nuggets
75,Alexandre Sarr,6,6.3,0.2999999999999998,REB,26.8,-0.16999999999999998,Washington Wizards
76,Christian Braun,5,5.1,0.09999999999999964,REB,35.2,0.56,Denver Nuggets
77,Bilal Coulibaly,5,5.4,0.40000000000000036,REB,34.6,-0.16999999999999998,Washington Wizards
78,Jamal Murray,5,4.0,-1.0,REB,36.0,0.56,Denver Nuggets
79,Jordan Poole,3,2.1,-0.8999999999999999,REB,29.8,-0.16999999999999998,Washington Wizards
80,Karl-Anthony Towns,13,13.2,0.1999999999999993,REB,33.8,-0.51,New York Knicks
81,Jalen Duren,9,9.2,0.1999999999999993,REB,23.9,-0.21999999999999997,Detroit Pistons
82,Josh Hart,9,8.6,-0.40000000000000036,REB,37.2,-0.51,New York Knicks
83,Cade Cunningham,6,7.2,1.2000000000000002,REB,35.9,-0.21999999999999997,Detroit Pistons
84,Tobias Harris,6,6.8,0.7999999999999998,REB,32.5,-0.21999999999999997,Detroit Pistons
85,OG Anunoby,5,5.1,0.09999999999999964,REB,36.4,-0.51,New York Knicks
86,Mikal Bridges,4,3.6,-0.3999999999999999,REB,38.2,-0.51,New York Knicks
87,Jaden Ivey,4,4.2,0.20000000000000018,REB,30.6,-0.21999999999999997,Detroit Pistons
88,Jalen Brunson,3,2.8,-0.20000000000000018,REB,33.8,-0.51,New York Knicks
