TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
1610612752,New York Knicks,36,24,12,0.667,48.1,43.8,87.8,0.498,0.6,35.5,0.382,16.8,20.9,0.8,10.1,33.3,0.37,0.7,13.1,7.7,4.0,4.8,17.2,19.1,0.83,7.1,2,4,4,4,23,4,20,2,13,23,3,15,22,4,20,17,20,10,4,23,28,12,5,12,6,5
1610612760,Oklahoma City Thunder,35,30,5,0.857,48.0,43.0,91.9,0.468,0.55,38.6,0.351,15.6,19.2,0.814,10.0,33.7,0.45,0.53,11.9,11.8,6.0,4.9,20.1,17.9,0.67,12.1,9,2,2,2,25,6,5,12,14,9,19,26,29,1,21,12,17,15,1,1,4,14,22,25,11,1
1610612753,Orlando Magic,37,21,16,0.568,48.0,38.0,85.3,0.445,0.05,37.1,0.31,17.8,22.7,0.785,10.9,30.6,0.15,0.17,15.2,9.5,6.6,4.0,20.3,20.9,0.03,1.8,1,7,11,11,25,30,28,27,29,16,30,11,10,12,15,27,27,26,19,5,2,2,24,2,30,10
1610612755,Philadelphia 76ers,33,14,19,0.424,48.5,38.2,85.2,0.449,0.27,35.7,0.339,19.1,24.4,0.784,10.1,29.8,0.07,0.07,14.4,9.8,4.2,5.5,20.2,20.2,0.13,-3.1,26,23,21,23,3,27,29,24,23,21,25,1,3,14,19,30,29,29,14,3,27,19,23,6,27,22
1610612756,Phoenix Suns,33,15,18,0.455,48.3,39.9,85.3,0.468,0.73,37.8,0.376,18.0,22.6,0.799,9.4,33.2,0.22,0.67,14.2,7.8,5.2,4.5,18.0,19.5,0.5,-2.3,26,22,17,22,10,21,27,11,9,12,6,9,11,5,26,20,25,11,12,21,13,7,6,10,16,20
1610612757,Portland Trail Blazers,34,12,22,0.353,48.0,39.8,89.2,0.446,0.22,35.8,0.333,16.4,21.2,0.771,12.5,30.9,0.37,0.1,16.6,8.1,5.6,6.3,19.5,19.0,0.2,-8.9,21,25,24,25,25,22,15,25,25,20,27,19,17,23,5,26,21,28,27,16,6,29,18,15,25,28
1610612758,Sacramento Kings,36,17,19,0.472,48.4,42.8,89.8,0.477,0.33,35.5,0.345,17.9,22.1,0.808,10.5,33.2,0.45,0.6,13.5,8.3,4.6,4.5,20.1,19.1,0.73,2.1,2,16,21,20,8,8,12,7,21,23,21,10,12,3,17,19,18,13,5,13,24,6,21,13,9,9
1610612759,San Antonio Spurs,35,18,17,0.514,48.3,40.3,88.5,0.455,0.55,39.6,0.342,17.4,21.9,0.797,11.0,34.7,0.87,0.8,14.6,7.4,6.8,4.6,16.3,18.8,0.43,0.0,9,12,14,14,12,19,17,21,14,7,24,13,13,7,11,4,5,6,16,27,1,9,2,18,18,16
1610612761,Toronto Raptors,35,8,27,0.229,48.4,41.8,90.3,0.463,0.05,33.3,0.344,16.2,21.5,0.754,12.4,32.2,0.6,0.8,16.5,7.7,4.5,6.1,22.2,18.7,0.37,-7.5,9,27,27,27,6,11,10,16,30,29,22,21,15,28,6,24,13,6,26,22,25,26,30,19,20,27
1610612762,Utah Jazz,34,9,25,0.265,48.0,39.6,85.9,0.461,0.63,38.1,0.366,18.1,22.9,0.792,12.0,33.2,0.77,0.28,18.4,6.9,5.0,6.4,18.7,20.1,0.4,-7.1,21,26,26,26,25,24,24,17,12,11,16,8,8,8,9,18,8,22,30,30,16,30,14,7,19,26
1610612764,Washington Wizards,33,6,27,0.182,48.2,40.3,90.5,0.446,0.3,37.2,0.33,16.0,20.6,0.778,10.5,33.7,0.57,0.4,16.4,7.8,5.6,5.6,21.1,18.4,0.23,-12.9,26,30,27,30,16,18,9,26,22,15,28,22,23,18,18,11,14,19,25,20,8,24,27,23,24,30
