,PLAYER,LINE,ACTUAL,DIFF,STAT,MIN,TEAMODDS,TEAM
0,Joel Embiid,29,19.8,-9.2,PTS,31.4,-0.26,Philadelphia 76ers
1,Tyrese Maxey,16,25.1,9.100000000000001,PTS,37.2,-0.26,Philadelphia 76ers
2,Jayson Tatum,29,29.9,0.8999999999999986,PTS,36.5,0.94,Boston Celtics
3,Jaylen Brown,24,24.8,0.8000000000000007,PTS,36.9,0.94,Boston Celtics
4,Jordan Poole,19,21.1,2.1000000000000014,PTS,29.9,-0.4,Washington Wizards
5,Kyle Kuzma,18,17.0,-1.0,PTS,28.0,-0.4,Washington Wizards
6,Derrick White,18,18.9,0.8999999999999986,PTS,34.8,0.94,Boston Celtics
7,Jrue Holiday,12,12.6,0.5999999999999996,PTS,30.6,0.94,Boston Celtics
8,Al Horford,10,10.2,0.1999999999999993,PTS,27.4,0.94,Boston Celtics
9,Brandon Ingram,25,23.2,-1.8000000000000007,PTS,33.6,-0.84,New Orleans Pelicans
10,Stephen Curry,24,23.0,-1.0,PTS,29.2,0.66,Golden State Warriors
11,Trey Murphy III,18,15.5,-2.5,PTS,27.7,-0.84,New Orleans Pelicans
12,Draymond Green,9,9.1,0.09999999999999964,PTS,28.1,0.66,Golden State Warriors
13,Giannis Antetokounmpo,33,32.1,-0.8999999999999986,PTS,35.3,0.2,Milwaukee Bucks
14,Damian Lillard,26,24.8,-1.1999999999999993,PTS,35.8,0.2,Milwaukee Bucks
15,Pascal Siakam,21,20.5,-0.5,PTS,34.0,0.010000000000000009,Indiana Pacers
16,Bennedict Mathurin,19,18.8,-0.1999999999999993,PTS,30.8,0.010000000000000009,Indiana Pacers
17,Tyrese Haliburton,17,15.3,-1.6999999999999993,PTS,34.8,0.010000000000000009,Indiana Pacers
18,Myles Turner,17,17.0,0.0,PTS,32.6,0.010000000000000009,Indiana Pacers
19,Brook Lopez,14,12.3,-1.6999999999999993,PTS,32.5,0.2,Milwaukee Bucks
20,Alperen Sengun,20,18.4,-1.6000000000000014,PTS,29.4,0.2,Houston Rockets
21,Jalen Green,20,19.4,-0.6000000000000014,PTS,32.4,0.2,Houston Rockets
22,Fred VanVleet,18,15.8,-2.1999999999999993,PTS,34.7,0.2,Houston Rockets
