,PLAYER,LINE,ACTUAL,DIFF,STAT,MIN,TEAMODDS,TEAM
0,RJ Barrett,23,23.5,0.5,PTS,34.3,-0.51,Toronto Raptors
1,Jalen Green,21,19.5,-1.5,PTS,32.6,0.31999999999999995,Houston Rockets
2,Alperen Sengun,21,18.8,-2.1999999999999993,PTS,31.2,0.31999999999999995,Houston Rockets
3,Scottie Barnes,21,20.3,-0.6999999999999993,PTS,33.4,-0.51,Toronto Raptors
4,Fred VanVleet,17,15.2,-1.8000000000000007,PTS,35.4,0.31999999999999995,Houston Rockets
5,Gradey Dick,16,18.5,2.5,PTS,32.4,-0.51,Toronto Raptors
6,Dillon Brooks,14,13.1,-0.9000000000000004,PTS,31.4,0.31999999999999995,Houston Rockets
7,Jabari Smith Jr.,13,11.9,-1.0999999999999996,PTS,30.7,0.31999999999999995,Houston Rockets
8,Amen Thompson,13,11.8,-1.1999999999999993,PTS,27.0,0.31999999999999995,Houston Rockets
9,Ochai Agbaji,10,11.8,1.8000000000000007,PTS,31.0,-0.51,Toronto Raptors
10,Jonathan Mogbo,9,5.6,-3.4000000000000004,PTS,17.8,-0.51,Toronto Raptors
11,Kelly Olynyk,8,6.8,-1.2000000000000002,PTS,14.3,-0.51,Toronto Raptors
12,De'Aaron Fox,26,26.3,0.3000000000000007,PTS,37.2,0.5599999999999999,Sacramento Kings
13,DeMar DeRozan,22,21.6,-0.3999999999999986,PTS,35.6,0.5599999999999999,Sacramento Kings
14,Pascal Siakam,21,20.1,-0.8999999999999986,PTS,34.5,0.20000000000000007,Indiana Pacers
15,Domantas Sabonis,20,21.3,1.3000000000000007,PTS,36.1,0.5599999999999999,Sacramento Kings
16,Tyrese Haliburton,19,18.0,-1.0,PTS,35.4,0.20000000000000007,Indiana Pacers
17,Malik Monk,18,15.8,-2.1999999999999993,PTS,29.6,0.5599999999999999,Sacramento Kings
18,Bennedict Mathurin,18,17.2,-0.8000000000000007,PTS,32.9,0.20000000000000007,Indiana Pacers
19,Myles Turner,15,15.0,0.0,PTS,31.6,0.20000000000000007,Indiana Pacers
20,Keegan Murray,13,12.2,-0.8000000000000007,PTS,36.0,0.5599999999999999,Sacramento Kings
21,Andrew Nembhard,11,9.3,-1.6999999999999993,PTS,26.2,0.20000000000000007,Indiana Pacers
22,Obi Toppin,11,10.8,-0.1999999999999993,PTS,20.4,0.20000000000000007,Indiana Pacers
23,T.J. McConnell,11,11.3,0.3000000000000007,PTS,19.8,0.20000000000000007,Indiana Pacers
24,Kevin Huerter,9,9.8,0.8000000000000007,PTS,25.4,0.5599999999999999,Sacramento Kings
25,CJ McCollum,21,20.4,-0.6000000000000014,PTS,33.5,-0.17,New Orleans Pelicans
26,Jamal Murray,20,18.7,-1.3000000000000007,PTS,36.0,0.65,Denver Nuggets
27,Dejounte Murray,19,16.2,-2.8000000000000007,PTS,32.9,-0.17,New Orleans Pelicans
28,Trey Murphy III,19,19.2,0.1999999999999993,PTS,34.3,-0.17,New Orleans Pelicans
29,Michael Porter Jr.,17,18.4,1.3999999999999986,PTS,35.1,0.65,Denver Nuggets
30,Aaron Gordon,13,14.1,1.0999999999999996,PTS,29.4,0.65,Denver Nuggets
31,Christian Braun,12,15.0,3.0,PTS,34.2,0.65,Denver Nuggets
32,Herbert Jones,12,11.5,-0.5,PTS,32.5,-0.17,New Orleans Pelicans
33,Yves Missi,10,9.3,-0.6999999999999993,PTS,26.1,-0.17,New Orleans Pelicans
34,Alperen Sengun,12,10.6,-1.4000000000000004,REB,31.2,0.30000000000000004,Houston Rockets
35,Scottie Barnes,8,8.1,0.09999999999999964,REB,33.4,0.29999999999999993,Toronto Raptors
36,Amen Thompson,8,6.9,-1.0999999999999996,REB,27.0,0.30000000000000004,Houston Rockets
37,Jabari Smith Jr.,8,6.6,-1.4000000000000004,REB,30.7,0.30000000000000004,Houston Rockets
38,RJ Barrett,7,6.8,-0.20000000000000018,REB,34.3,0.29999999999999993,Toronto Raptors
39,Jonathan Mogbo,7,4.6,-2.4000000000000004,REB,17.8,0.29999999999999993,Toronto Raptors
40,Jalen Green,5,4.7,-0.2999999999999998,REB,32.6,0.30000000000000004,Houston Rockets
41,Kelly Olynyk,5,4.2,-0.7999999999999998,REB,14.3,0.29999999999999993,Toronto Raptors
42,Dillon Brooks,4,3.9,-0.10000000000000009,REB,31.4,0.30000000000000004,Houston Rockets
43,Fred VanVleet,4,4.2,0.20000000000000018,REB,35.4,0.30000000000000004,Houston Rockets
44,Ochai Agbaji,4,4.1,0.09999999999999964,REB,31.0,0.29999999999999993,Toronto Raptors
45,Gradey Dick,4,3.4,-0.6000000000000001,REB,32.4,0.29999999999999993,Toronto Raptors
46,Domantas Sabonis,14,13.3,-0.6999999999999993,REB,36.1,-0.04999999999999999,Sacramento Kings
47,Pascal Siakam,8,7.0,-1.0,REB,34.5,-0.73,Indiana Pacers
48,Myles Turner,8,7.0,-1.0,REB,31.6,-0.73,Indiana Pacers
49,Keegan Murray,7,7.5,0.5,REB,36.0,-0.04999999999999999,Sacramento Kings
50,Bennedict Mathurin,6,6.2,0.20000000000000018,REB,32.9,-0.73,Indiana Pacers
51,De'Aaron Fox,6,5.0,-1.0,REB,37.2,-0.04999999999999999,Sacramento Kings
52,Obi Toppin,5,4.1,-0.9000000000000004,REB,20.4,-0.73,Indiana Pacers
53,Malik Monk,5,3.6,-1.4,REB,29.6,-0.04999999999999999,Sacramento Kings
54,DeMar DeRozan,5,3.9,-1.1,REB,35.6,-0.04999999999999999,Sacramento Kings
55,Tyrese Haliburton,4,3.4,-0.6000000000000001,REB,35.4,-0.73,Indiana Pacers
56,Kevin Huerter,4,3.4,-0.6000000000000001,REB,25.4,-0.04999999999999999,Sacramento Kings
57,Andrew Nembhard,3,2.4,-0.6000000000000001,REB,26.2,-0.73,Indiana Pacers
58,Yves Missi,10,8.6,-1.4000000000000004,REB,26.1,-0.09999999999999998,New Orleans Pelicans
59,Michael Porter Jr.,7,7.1,0.09999999999999964,REB,35.1,0.47000000000000003,Denver Nuggets
60,Aaron Gordon,6,6.1,0.09999999999999964,REB,29.4,0.47000000000000003,Denver Nuggets
61,Dejounte Murray,6,6.6,0.5999999999999996,REB,32.9,-0.09999999999999998,New Orleans Pelicans
62,Trey Murphy III,5,4.5,-0.5,REB,34.3,-0.09999999999999998,New Orleans Pelicans
63,Christian Braun,5,4.9,-0.09999999999999964,REB,34.2,0.47000000000000003,Denver Nuggets
64,CJ McCollum,4,3.9,-0.10000000000000009,REB,33.5,-0.09999999999999998,New Orleans Pelicans
65,Jamal Murray,4,3.9,-0.10000000000000009,REB,36.0,0.47000000000000003,Denver Nuggets
66,Herbert Jones,4,3.8,-0.20000000000000018,REB,32.5,-0.09999999999999998,New Orleans Pelicans
