,PLAYER,LINE,ACTUAL,DIFF,STAT,MIN,TEAMODDS,TEAM
0,Victor Wembanyama,23,17.7,-5.300000000000001,PTS,30.8,-0.1,San Antonio Spurs
1,Lauri Markkanen,20,16.0,-4.0,PTS,28.5,-0.87,Utah Jazz
2,Keyonte George,16,15.6,-0.40000000000000036,PTS,31.7,-0.87,Utah Jazz
3,Harrison Barnes,12,9.7,-2.3000000000000007,PTS,28.6,-0.1,San Antonio Spurs
4,Julian Champagnie,11,11.0,0.0,PTS,28.2,-0.1,San Antonio Spurs
5,Chris Paul,11,11.1,0.09999999999999964,PTS,28.4,-0.1,San Antonio Spurs
6,Walker Kessler,9,9.5,0.5,PTS,27.4,-0.87,Utah Jazz
7,Cody Williams,7,4.8,-2.2,PTS,23.6,-0.87,Utah Jazz
8,Donovan Mitchell,24,22.6,-1.3999999999999986,PTS,29.9,0.52,Cleveland Cavaliers
9,Darius Garland,19,20.5,1.5,PTS,29.2,0.52,Cleveland Cavaliers
10,Evan Mobley,16,17.9,1.8999999999999986,PTS,29.4,0.52,Cleveland Cavaliers
11,Cameron Johnson,16,16.8,0.8000000000000007,PTS,34.3,-0.16999999999999998,Brooklyn Nets
12,Jarrett Allen,15,14.9,-0.09999999999999964,PTS,30.5,0.52,Cleveland Cavaliers
13,Caris LeVert,12,12.0,0.0,PTS,22.4,0.52,Cleveland Cavaliers
14,Dorian Finney-Smith,9,10.0,1.0,PTS,29.0,-0.16999999999999998,Brooklyn Nets
15,Trae Young,28,24.9,-3.1000000000000014,PTS,36.4,0.65,Atlanta Hawks
16,Jalen Johnson,22,19.0,-3.0,PTS,36.7,0.65,Atlanta Hawks
17,Zaccharie Risacher,14,11.5,-2.5,PTS,26.7,0.65,Atlanta Hawks
18,Dyson Daniels,12,12.4,0.40000000000000036,PTS,31.7,0.65,Atlanta Hawks
19,Clint Capela,11,9.6,-1.4000000000000004,PTS,22.4,0.65,Atlanta Hawks
20,James Harden,24,20.9,-3.1000000000000014,PTS,35.0,0.24000000000000002,LA Clippers
21,Norman Powell,24,25.7,1.6999999999999993,PTS,34.1,0.24000000000000002,LA Clippers
22,RJ Barrett,23,25.7,2.6999999999999993,PTS,33.1,-0.14,Toronto Raptors
23,Ivica Zubac,17,16.7,-0.3000000000000007,PTS,34.7,0.24000000000000002,LA Clippers
24,Gradey Dick,17,20.0,3.0,PTS,31.5,-0.14,Toronto Raptors
25,Immanuel Quickley,16,13.0,-3.0,PTS,14.2,-0.14,Toronto Raptors
26,Ochai Agbaji,11,13.0,2.0,PTS,30.5,-0.14,Toronto Raptors
27,Derrick Jones Jr.,11,11.0,0.0,PTS,27.4,0.24000000000000002,LA Clippers
