,PLAYER,LINE,ACTUAL,DIFF,STAT,MIN,TEAMODDS,TEAM
0,Jalen Brunson,26,25.4,-0.6000000000000014,PTS,34.2,0.6000000000000001,New York Knicks
1,Karl-Anthony Towns,25,25.2,0.1999999999999993,PTS,33.8,0.6000000000000001,New York Knicks
2,RJ Barrett,22,23.3,1.3000000000000007,PTS,34.1,-0.19999999999999996,Toronto Raptors
3,Scottie Barnes,21,21.0,0.0,PTS,34.0,-0.19999999999999996,Toronto Raptors
4,OG Anunoby,19,17.7,-1.3000000000000007,PTS,36.5,0.6000000000000001,New York Knicks
5,Mikal Bridges,17,16.7,-0.3000000000000007,PTS,38.2,0.6000000000000001,New York Knicks
6,Gradey Dick,16,18.4,2.3999999999999986,PTS,32.5,-0.19999999999999996,Toronto Raptors
7,Jakob Poeltl,16,16.2,0.1999999999999993,PTS,32.7,-0.19999999999999996,Toronto Raptors
8,Josh Hart,14,14.0,0.0,PTS,37.3,0.6000000000000001,New York Knicks
9,Ochai Agbaji,9,11.4,2.4000000000000004,PTS,30.8,-0.19999999999999996,Toronto Raptors
10,Karl-Anthony Towns,13,13.2,0.1999999999999993,REB,33.8,-0.52,New York Knicks
11,Jakob Poeltl,11,11.6,0.5999999999999996,REB,32.7,-0.09999999999999998,Toronto Raptors
12,Josh Hart,10,8.5,-1.5,REB,37.3,-0.52,New York Knicks
13,Scottie Barnes,9,8.7,-0.3000000000000007,REB,34.0,-0.09999999999999998,Toronto Raptors
14,RJ Barrett,6,6.6,0.5999999999999996,REB,34.1,-0.09999999999999998,Toronto Raptors
15,OG Anunoby,6,5.0,-1.0,REB,36.5,-0.52,New York Knicks
16,Mikal Bridges,5,3.6,-1.4,REB,38.2,-0.52,New York Knicks
17,Ochai Agbaji,4,4.2,0.20000000000000018,REB,30.8,-0.09999999999999998,Toronto Raptors
18,Jalen Brunson,3,2.9,-0.10000000000000009,REB,34.2,-0.52,New York Knicks
19,Gradey Dick,3,3.0,0.0,REB,32.5,-0.09999999999999998,Toronto Raptors
20,Scottie Barnes,8,7.8,-0.20000000000000018,AST,34.0,0.25,Toronto Raptors
21,Jalen Brunson,8,7.7,-0.2999999999999998,AST,34.2,0.21999999999999997,New York Knicks
22,Josh Hart,6,5.6,-0.40000000000000036,AST,37.3,0.21999999999999997,New York Knicks
23,RJ Barrett,5,5.9,0.9000000000000004,AST,34.1,0.25,Toronto Raptors
24,Mikal Bridges,4,3.4,-0.6000000000000001,AST,38.2,0.21999999999999997,New York Knicks
25,Karl-Anthony Towns,3,3.0,0.0,AST,33.8,0.21999999999999997,New York Knicks
26,Jakob Poeltl,3,2.7,-0.2999999999999998,AST,32.7,0.25,Toronto Raptors
27,Jalen Brunson,3,2.6,-0.3999999999999999,FG3M,34.2,0.10000000000000009,New York Knicks
28,Gradey Dick,3,2.6,-0.3999999999999999,FG3M,32.5,-0.12000000000000001,Toronto Raptors
29,OG Anunoby,3,2.3,-0.7000000000000002,FG3M,36.5,0.10000000000000009,New York Knicks
30,Mikal Bridges,3,2.3,-0.7000000000000002,FG3M,38.2,0.10000000000000009,New York Knicks
31,Karl-Anthony Towns,3,2.3,-0.7000000000000002,FG3M,33.8,0.10000000000000009,New York Knicks
32,Scottie Barnes,2,1.8,-0.19999999999999996,FG3M,34.0,-0.12000000000000001,Toronto Raptors
33,RJ Barrett,2,2.0,0.0,FG3M,34.1,-0.12000000000000001,Toronto Raptors
34,Josh Hart,2,1.3,-0.7,FG3M,37.3,0.10000000000000009,New York Knicks
35,Ochai Agbaji,2,1.8,-0.19999999999999996,FG3M,30.8,-0.12000000000000001,Toronto Raptors
