,PLAYER,LINE,ACTUAL,DIFF,STAT,MIN,TEAMODDS,TEAM
0,Giannis Antetokounmpo,32,31.4,-0.6000000000000014,PTS,35.3,0.3,Milwaukee Bucks
1,Damian Lillard,25,25.3,0.3000000000000007,PTS,35.8,0.3,Milwaukee Bucks
2,Zach LaVine,22,21.6,-0.3999999999999986,PTS,34.2,0.16999999999999993,Chicago Bulls
3,Coby White,21,19.9,-1.1000000000000014,PTS,32.9,0.16999999999999993,Chicago Bulls
4,Brook Lopez,12,11.7,-0.3000000000000007,PTS,32.3,0.3,Milwaukee Bucks
5,Josh Giddey,12,12.2,0.1999999999999993,PTS,27.4,0.16999999999999993,Chicago Bulls
6,Patrick Williams,11,9.9,-1.0999999999999996,PTS,28.9,0.16999999999999993,Chicago Bulls
7,Taurean Prince,9,8.9,-0.09999999999999964,PTS,29.9,0.3,Milwaukee Bucks
8,Brandon Ingram,25,23.2,-1.8000000000000007,PTS,33.6,-0.53,New Orleans Pelicans
9,Donovan Mitchell,25,25.3,0.3000000000000007,PTS,31.8,0.6699999999999999,Cleveland Cavaliers
10,Darius Garland,19,20.6,1.6000000000000014,PTS,30.2,0.6699999999999999,Cleveland Cavaliers
11,Evan Mobley,17,18.4,1.3999999999999986,PTS,31.1,0.6699999999999999,Cleveland Cavaliers
12,Jarrett Allen,14,14.3,0.3000000000000007,PTS,30.1,0.6699999999999999,Cleveland Cavaliers
13,Javonte Green,9,6.1,-2.9000000000000004,PTS,23.9,-0.53,New Orleans Pelicans
14,Yves Missi,7,6.7,-0.2999999999999998,PTS,23.5,-0.53,New Orleans Pelicans
15,Jaren Jackson Jr.,21,22.8,1.8000000000000007,PTS,28.8,0.33000000000000007,Memphis Grizzlies
16,Desmond Bane,18,16.0,-2.0,PTS,27.2,0.33000000000000007,Memphis Grizzlies
17,Jaylen Wells,10,11.5,1.5,PTS,25.6,0.33000000000000007,Memphis Grizzlies
18,Scotty Pippen Jr.,10,11.8,1.8000000000000007,PTS,25.7,0.33000000000000007,Memphis Grizzlies
19,Brandon Clarke,8,5.8,-2.2,PTS,15.9,0.33000000000000007,Memphis Grizzlies
20,Shai Gilgeous-Alexander,32,28.7,-3.3000000000000007,PTS,33.8,0.26,Oklahoma City Thunder
21,Jalen Williams,23,21.2,-1.8000000000000007,PTS,32.3,0.26,Oklahoma City Thunder
22,Anfernee Simons,19,16.3,-2.6999999999999993,PTS,29.7,-0.84,Portland Trail Blazers
23,Jerami Grant,18,16.9,-1.1000000000000014,PTS,33.0,-0.84,Portland Trail Blazers
24,Luguentz Dort,14,11.8,-2.1999999999999993,PTS,28.8,0.26,Oklahoma City Thunder
25,Toumani Camara,8,8.7,0.6999999999999993,PTS,31.3,-0.84,Portland Trail Blazers
26,Donovan Clingan,7,5.7,-1.2999999999999998,PTS,16.2,-0.84,Portland Trail Blazers
27,Alperen Sengun,23,17.5,-5.5,PTS,29.5,0.33,Houston Rockets
28,Jalen Green,22,19.7,-2.3000000000000007,PTS,32.7,0.33,Houston Rockets
29,Pascal Siakam,22,20.5,-1.5,PTS,34.2,-0.33000000000000007,Indiana Pacers
30,Bennedict Mathurin,21,19.6,-1.3999999999999986,PTS,31.2,-0.33000000000000007,Indiana Pacers
31,Fred VanVleet,19,15.6,-3.4000000000000004,PTS,34.7,0.33,Houston Rockets
32,Tyrese Haliburton,18,16.1,-1.8999999999999986,PTS,35.2,-0.33000000000000007,Indiana Pacers
33,Myles Turner,17,17.6,0.6000000000000014,PTS,32.9,-0.33000000000000007,Indiana Pacers
34,Dillon Brooks,13,12.1,-0.9000000000000004,PTS,30.9,0.33,Houston Rockets
35,Jabari Smith Jr.,12,11.2,-0.8000000000000007,PTS,28.1,0.33,Houston Rockets
36,Devin Booker,28,23.5,-4.5,PTS,36.7,-0.25000000000000006,Phoenix Suns
37,Jalen Brunson,27,24.4,-2.6000000000000014,PTS,34.2,0.35,New York Knicks
38,Karl-Anthony Towns,26,26.2,0.1999999999999993,PTS,32.9,0.35,New York Knicks
39,OG Anunoby,17,17.4,0.3999999999999986,PTS,36.4,0.35,New York Knicks
40,Mikal Bridges,16,16.4,0.3999999999999986,PTS,38.5,0.35,New York Knicks
41,Josh Hart,13,13.7,0.6999999999999993,PTS,37.1,0.35,New York Knicks
42,Tyus Jones,13,11.1,-1.9000000000000004,PTS,32.5,-0.25000000000000006,Phoenix Suns
43,Stephen Curry,27,23.0,-4.0,PTS,29.1,0.81,Golden State Warriors
44,Trae Young,24,22.6,-1.3999999999999986,PTS,36.4,-0.050000000000000044,Atlanta Hawks
45,Jalen Johnson,18,19.4,1.3999999999999986,PTS,36.6,-0.050000000000000044,Atlanta Hawks
46,Andrew Wiggins,17,15.2,-1.8000000000000007,PTS,26.9,0.81,Golden State Warriors
47,Buddy Hield,15,16.9,1.8999999999999986,PTS,24.9,0.81,Golden State Warriors
48,Dyson Daniels,14,14.9,0.9000000000000004,PTS,33.9,-0.050000000000000044,Atlanta Hawks
49,Clint Capela,10,11.1,1.0999999999999996,PTS,22.5,-0.050000000000000044,Atlanta Hawks
50,Onyeka Okongwu,10,11.1,1.0999999999999996,PTS,23.7,-0.050000000000000044,Atlanta Hawks
51,Draymond Green,9,9.1,0.09999999999999964,PTS,28.2,0.81,Golden State Warriors
52,Trayce Jackson-Davis,8,8.0,0.0,PTS,16.9,0.81,Golden State Warriors
53,Franz Wagner,28,22.9,-5.100000000000001,PTS,31.2,-0.8,Orlando Magic
54,James Harden,23,20.1,-2.8999999999999986,PTS,34.9,-0.73,LA Clippers
55,Ivica Zubac,16,15.3,-0.6999999999999993,PTS,34.1,-0.73,LA Clippers
56,Jalen Suggs,16,14.9,-1.0999999999999996,PTS,30.1,-0.8,Orlando Magic
57,Kris Dunn,10,7.9,-2.0999999999999996,PTS,22.1,-0.73,LA Clippers
58,Derrick Jones Jr.,10,10.0,0.0,PTS,25.8,-0.73,LA Clippers
59,Kentavious Caldwell-Pope,9,7.3,-1.7000000000000002,PTS,30.0,-0.8,Orlando Magic
60,Tristan da Silva,7,6.6,-0.40000000000000036,PTS,24.5,-0.8,Orlando Magic
