,PLAYER,LINE,ACTUAL,DIFF,STAT,MIN,TEAMODDS,TEAM
0,Franz Wagner,28,23.6,-4.399999999999999,PTS,32.3,-0.13,Orlando Magic
1,Cameron Johnson,18,17.7,-0.3000000000000007,PTS,32.3,-0.5700000000000001,Brooklyn Nets
2,Jalen Suggs,17,15.4,-1.5999999999999996,PTS,29.2,-0.13,Orlando Magic
3,Moritz Wagner,12,12.7,0.6999999999999993,PTS,19.0,-0.13,Orlando Magic
4,Ziaire Williams,10,9.0,-1.0,PTS,21.8,-0.5700000000000001,Brooklyn Nets
5,Wendell Carter Jr.,9,8.3,-0.6999999999999993,PTS,25.3,-0.13,Orlando Magic
6,Goga Bitadze,9,8.0,-1.0,PTS,21.7,-0.13,Orlando Magic
7,Kentavious Caldwell-Pope,8,8.3,0.3000000000000007,PTS,29.8,-0.13,Orlando Magic
8,Ben Simmons,6,5.8,-0.20000000000000018,PTS,25.0,-0.5700000000000001,Brooklyn Nets
9,Pascal Siakam,22,21.0,-1.0,PTS,34.3,0.14,Indiana Pacers
10,Ja Morant,22,21.4,-0.6000000000000014,PTS,27.4,0.76,Memphis Grizzlies
11,Jaren Jackson Jr.,21,22.2,1.1999999999999993,PTS,28.3,0.76,Memphis Grizzlies
12,Bennedict Mathurin,19,18.5,-0.5,PTS,32.4,0.14,Indiana Pacers
13,Tyrese Haliburton,19,17.5,-1.5,PTS,34.8,0.14,Indiana Pacers
14,Desmond Bane,16,13.8,-2.1999999999999993,PTS,27.3,0.76,Memphis Grizzlies
15,Myles Turner,15,15.9,0.9000000000000004,PTS,32.3,0.14,Indiana Pacers
16,Jayson Tatum,28,28.7,0.6999999999999993,PTS,36.3,0.47,Boston Celtics
17,Donovan Mitchell,27,24.1,-2.8999999999999986,PTS,31.7,0.30000000000000004,Cleveland Cavaliers
18,Jaylen Brown,24,24.7,0.6999999999999993,PTS,36.5,0.47,Boston Celtics
19,Darius Garland,19,20.7,1.6999999999999993,PTS,30.6,0.30000000000000004,Cleveland Cavaliers
20,Evan Mobley,17,18.2,1.1999999999999993,PTS,31.1,0.30000000000000004,Cleveland Cavaliers
21,Derrick White,16,18.3,2.3000000000000007,PTS,34.3,0.47,Boston Celtics
22,Jarrett Allen,12,14.5,2.5,PTS,29.6,0.30000000000000004,Cleveland Cavaliers
23,Jrue Holiday,12,12.1,0.09999999999999964,PTS,31.0,0.47,Boston Celtics
24,Jalen Brunson,27,25.9,-1.1000000000000014,PTS,34.9,0.55,New York Knicks
25,Karl-Anthony Towns,26,25.8,-0.1999999999999993,PTS,33.8,0.55,New York Knicks
26,CJ McCollum,20,21.0,1.0,PTS,33.3,-0.43999999999999995,New Orleans Pelicans
27,Dejounte Murray,20,16.3,-3.6999999999999993,PTS,29.4,-0.43999999999999995,New Orleans Pelicans
28,Trey Murphy III,19,18.7,-0.3000000000000007,PTS,32.4,-0.43999999999999995,New Orleans Pelicans
29,OG Anunoby,17,17.9,0.8999999999999986,PTS,36.7,0.55,New York Knicks
30,Mikal Bridges,15,15.5,0.5,PTS,38.1,0.55,New York Knicks
31,Josh Hart,13,13.9,0.9000000000000004,PTS,37.4,0.55,New York Knicks
32,Miles McBride,9,10.7,1.6999999999999993,PTS,25.7,0.55,New York Knicks
33,RJ Barrett,23,22.9,-0.10000000000000142,PTS,34.3,-0.4,Toronto Raptors
34,Tyler Herro,23,23.6,0.6000000000000014,PTS,35.0,0.16999999999999998,Miami Heat
35,Scottie Barnes,22,20.4,-1.6000000000000014,PTS,33.6,-0.4,Toronto Raptors
36,Jimmy Butler,19,19.0,0.0,PTS,31.7,0.16999999999999998,Miami Heat
37,Bam Adebayo,18,15.8,-2.1999999999999993,PTS,35.2,0.16999999999999998,Miami Heat
38,Jakob Poeltl,14,15.9,1.9000000000000004,PTS,32.3,-0.4,Toronto Raptors
