,PLAYER,LINE,ACTUAL,DIFF,STAT,MIN,TEAMODDS,TEAM
0,LaMelo Ball,31,30.2,-0.8000000000000007,PTS,33.6,-0.65,Charlotte Hornets
1,Franz Wagner,28,23.6,-4.399999999999999,PTS,31.7,-0.15000000000000002,Orlando Magic
2,Brandon Miller,24,19.8,-4.199999999999999,PTS,32.9,-0.65,Charlotte Hornets
3,Jalen Suggs,16,14.7,-1.3000000000000007,PTS,29.2,-0.15000000000000002,Orlando Magic
4,Brandon Ingram,23,22.9,-0.10000000000000142,PTS,33.7,-0.17,New Orleans Pelicans
5,Pascal Siakam,21,20.9,-0.10000000000000142,PTS,33.9,0.39,Indiana Pacers
6,Bennedict Mathurin,19,18.7,-0.3000000000000007,PTS,31.4,0.39,Indiana Pacers
7,Tyrese Haliburton,18,15.8,-2.1999999999999993,PTS,34.8,0.39,Indiana Pacers
8,Trey Murphy III,17,17.2,0.1999999999999993,PTS,29.8,-0.17,New Orleans Pelicans
9,Myles Turner,16,16.4,0.3999999999999986,PTS,32.4,0.39,Indiana Pacers
10,RJ Barrett,24,23.2,-0.8000000000000007,PTS,34.1,-0.13,Toronto Raptors
11,Jaden Ivey,21,18.1,-2.8999999999999986,PTS,31.6,0.15000000000000002,Detroit Pistons
12,Scottie Barnes,19,18.7,-0.3000000000000007,PTS,32.6,-0.13,Toronto Raptors
13,Tobias Harris,16,13.9,-2.0999999999999996,PTS,33.0,0.15000000000000002,Detroit Pistons
14,Jalen Duren,12,8.7,-3.3000000000000007,PTS,24.8,0.15000000000000002,Detroit Pistons
15,Jayson Tatum,27,28.9,1.8999999999999986,PTS,36.7,0.030000000000000027,Boston Celtics
16,Jaylen Brown,24,25.6,1.6000000000000014,PTS,36.9,0.030000000000000027,Boston Celtics
17,James Harden,23,20.6,-2.3999999999999986,PTS,34.5,-0.5700000000000001,LA Clippers
18,Derrick White,16,18.4,2.3999999999999986,PTS,35.1,0.030000000000000027,Boston Celtics
19,Ivica Zubac,15,15.2,0.1999999999999993,PTS,33.2,-0.5700000000000001,LA Clippers
20,Jrue Holiday,12,12.6,0.5999999999999996,PTS,30.8,0.030000000000000027,Boston Celtics
21,Kyrie Irving,26,24.1,-1.8999999999999986,PTS,35.1,0.63,Dallas Mavericks
22,Trae Young,22,22.1,0.10000000000000142,PTS,36.1,-0.030000000000000027,Atlanta Hawks
23,Jalen Johnson,19,19.4,0.3999999999999986,PTS,36.5,-0.030000000000000027,Atlanta Hawks
24,P.J. Washington,17,11.7,-5.300000000000001,PTS,31.3,0.63,Dallas Mavericks
25,Klay Thompson,16,13.2,-2.8000000000000007,PTS,28.5,0.63,Dallas Mavericks
26,Clint Capela,13,11.6,-1.4000000000000004,PTS,22.7,-0.030000000000000027,Atlanta Hawks
27,Daniel Gafford,10,12.4,2.4000000000000004,PTS,20.9,0.63,Dallas Mavericks
28,Dereck Lively II,9,9.2,0.1999999999999993,PTS,22.9,0.63,Dallas Mavericks
29,Anfernee Simons,20,16.3,-3.6999999999999993,PTS,29.7,-0.32999999999999996,Portland Trail Blazers
