TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
1610612737,Atlanta Hawks,82,36,46,0.439,48.4,43.0,92.5,0.465,0.83,37.7,0.364,18.5,23.2,0.797,12.5,32.2,0.83,0.52,13.5,0.5,0.18,5.6,18.6,19.4,0.87,-2.2,1,21,21,21,3,10,2,21,6,7,17,5,7,8,3,22,6,16,16,16,26,22,15,7,5,21
1610612738,Boston Celtics,82,64,18,0.78,48.4,43.9,90.2,0.487,1.0,42.5,0.388,16.3,20.2,0.807,10.7,35.6,0.97,0.57,11.9,0.13,0.98,3.7,16.2,17.3,0.97,11.3,1,1,1,1,7,4,8,8,1,1,2,19,26,7,14,1,2,14,1,27,1,1,2,30,2,1
1610612751,Brooklyn Nets,82,32,50,0.39,48.3,40.7,89.1,0.456,0.75,36.7,0.362,15.8,20.9,0.756,11.4,32.6,0.68,0.35,13.1,0.13,0.62,5.0,18.5,18.2,0.2,-2.9,1,22,22,22,10,25,16,28,9,9,19,23,20,28,7,20,11,20,12,28,12,16,13,21,25,22
1610612766,Charlotte Hornets,82,21,61,0.256,48.1,40.0,87.0,0.46,0.28,34.0,0.355,14.5,18.4,0.786,9.3,31.0,0.03,0.18,13.8,0.22,0.18,4.8,18.0,17.5,0.1,-10.2,1,27,27,27,23,27,25,26,23,17,21,30,30,11,27,29,30,26,18,25,25,13,7,29,28,30
1610612741,Chicago Bulls,82,39,43,0.476,48.7,42.0,89.5,0.47,0.13,32.1,0.358,16.7,21.1,0.791,11.2,32.6,0.57,0.27,12.2,0.77,0.43,4.9,18.8,18.8,0.3,-1.4,1,20,20,20,1,16,13,18,27,26,20,17,18,10,8,19,14,23,3,9,18,14,17,14,22,20
1610612739,Cleveland Cavaliers,82,48,34,0.585,48.3,41.8,87.2,0.479,0.8,36.8,0.367,15.6,20.4,0.765,9.9,33.4,0.48,0.77,13.6,0.4,0.28,5.0,17.5,18.7,0.37,2.4,1,11,11,11,10,19,24,12,7,8,15,26,24,22,22,11,17,8,17,19,21,17,5,16,20,13
1610612742,Dallas Mavericks,82,50,32,0.61,48.1,43.1,89.7,0.481,0.93,39.5,0.369,17.0,22.5,0.758,9.7,33.2,0.33,0.4,12.5,0.22,0.5,4.0,18.3,20.3,0.8,2.2,1,6,6,6,26,9,12,11,3,2,13,15,11,27,23,14,21,19,4,24,17,2,10,2,7,14
1610612743,Denver Nuggets,82,57,25,0.695,48.1,44.0,88.8,0.496,0.2,31.2,0.374,15.1,19.9,0.762,10.7,33.7,0.8,0.93,12.6,0.32,0.72,4.8,18.2,17.9,0.57,5.3,1,2,2,2,26,3,17,4,25,30,10,29,29,25,13,9,7,3,5,21,10,12,9,26,14,4
1610612765,Detroit Pistons,82,14,68,0.171,48.2,40.9,88.2,0.463,0.05,31.7,0.348,17.0,21.7,0.785,10.5,32.8,0.48,0.3,15.2,0.05,0.38,6.0,20.6,17.8,0.13,-9.1,1,30,30,30,21,24,20,24,29,27,26,14,15,12,15,18,16,22,28,30,20,25,28,28,27,28
1610612744,Golden State Warriors,82,46,36,0.561,48.4,43.7,91.6,0.477,0.97,38.9,0.38,15.6,20.0,0.78,12.1,34.6,1.0,0.9,14.3,0.27,0.28,5.0,19.5,17.9,0.77,2.6,1,16,16,16,7,5,3,13,2,4,7,24,27,17,5,4,1,4,23,23,23,15,22,24,8,12
1610612745,Houston Rockets,82,41,41,0.5,48.4,41.8,91.0,0.459,0.57,36.1,0.352,18.1,23.4,0.773,11.5,34.0,0.92,0.18,12.7,0.77,0.28,5.9,20.8,19.6,0.5,1.1,1,19,19,19,3,19,5,27,14,12,23,9,5,20,6,6,3,25,8,8,24,24,29,6,16,18
1610612754,Indiana Pacers,82,47,35,0.573,48.1,47.0,92.7,0.507,0.68,35.3,0.374,16.1,20.5,0.782,10.1,31.4,0.1,1.0,12.9,0.68,0.77,5.4,21.4,18.3,1.0,3.0,1,12,12,12,26,1,1,1,11,15,9,21,22,13,20,28,28,1,9,11,8,21,30,20,1,9
