TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,OPP_FGM,OPP_FGA,OPP_FG_PCT,OPP_FG3M,OPP_FG3A,OPP_FG3_PCT,OPP_FTM,OPP_FTA,OPP_FT_PCT,OPP_OREB,OPP_DREB,OPP_REB,OPP_AST,OPP_TOV,OPP_STL,OPP_BLK,OPP_BLKA,OPP_PF,OPP_PFD,OPP_PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OPP_FGM_RANK,OPP_FGA_RANK,OPP_FG_PCT_RANK,OPP_FG3M_RANK,OPP_FG3A_RANK,OPP_FG3_PCT_RANK,OPP_FTM_RANK,OPP_FTA_RANK,OPP_FT_PCT_RANK,OPP_OREB_RANK,OPP_DREB_RANK,OPP_REB_RANK,OPP_AST_RANK,OPP_TOV_RANK,OPP_STL_RANK,OPP_BLK_RANK,OPP_BLKA_RANK,OPP_PF_RANK,OPP_PFD_RANK,OPP_PTS_RANK,PLUS_MINUS_RANK
1610612740,New Orleans Pelicans,82,49,33,0.598,48.1,40.5,87.3,0.464,0.23,38.7,0.349,16.2,20.7,0.783,10.1,32.2,0.78,0.47,14.2,0.93,0.4,4.6,18.4,18.4,0.77,-4.4,1,8,8,8,26,5,10,7,24,29,2,8,7,15,6,9,8,17,6,3,19,22,13,20,8,6
1610612752,New York Knicks,82,50,32,0.61,48.1,40.3,85.7,0.47,0.68,34.3,0.365,15.1,19.8,0.764,10.2,30.4,0.97,0.77,13.2,0.83,0.37,4.1,19.1,17.6,0.97,-4.6,1,6,6,6,23,4,2,15,10,12,17,4,4,1,8,2,2,8,21,6,20,29,21,25,2,5
1610612760,Oklahoma City Thunder,82,57,25,0.695,48.3,40.6,89.3,0.455,0.28,37.2,0.361,18.1,22.9,0.789,11.8,32.9,0.27,0.42,15.7,0.67,0.43,6.6,18.9,18.8,0.67,-7.4,1,2,2,2,10,8,18,3,23,26,12,23,23,20,29,13,23,18,1,11,18,1,19,12,11,2
1610612753,Orlando Magic,82,47,35,0.573,48.2,39.8,84.0,0.474,0.9,32.1,0.358,17.3,22.2,0.78,8.9,30.9,1.0,1.0,15.0,0.25,0.78,5.2,20.9,19.7,0.92,-2.0,1,12,12,12,17,2,1,18,4,3,10,20,20,13,1,3,1,1,3,23,7,13,30,8,4,15
1610612755,Philadelphia 76ers,82,47,35,0.573,48.2,40.5,86.6,0.468,0.83,33.7,0.354,18.6,23.5,0.791,11.0,33.4,0.3,0.7,14.6,0.98,0.13,6.0,18.5,20.3,0.73,-3.0,1,12,12,12,17,6,4,11,6,7,6,25,25,22,25,18,22,10,4,1,27,6,14,4,9,9
1610612756,Phoenix Suns,82,49,33,0.598,48.2,42.0,90.6,0.464,0.4,36.0,0.364,16.1,20.8,0.774,11.0,30.4,0.93,0.67,12.7,0.17,0.87,6.0,19.7,18.0,0.58,-3.1,1,8,8,8,17,17,23,8,18,19,15,7,9,7,22,1,3,11,24,26,6,6,26,23,13,8
1610612757,Portland Trail Blazers,82,21,61,0.256,48.5,42.5,86.6,0.491,0.87,33.3,0.351,18.7,23.6,0.792,10.6,33.2,0.47,0.33,14.3,0.07,0.08,4.3,17.9,20.2,0.4,9.0,1,27,27,27,2,19,5,25,5,6,3,27,26,24,14,15,17,21,5,29,28,27,4,5,19,27
1610612758,Sacramento Kings,82,46,36,0.561,48.4,41.6,86.8,0.48,0.4,33.8,0.387,18.5,23.1,0.8,9.1,33.4,0.73,0.42,13.9,0.48,0.87,4.2,18.3,19.9,0.47,-1.7,1,16,16,16,3,16,6,21,18,9,29,24,24,27,2,17,9,19,12,17,4,28,12,7,17,17
1610612759,San Antonio Spurs,82,22,60,0.268,48.4,44.9,92.3,0.487,0.6,34.0,0.373,16.0,20.5,0.784,10.5,34.8,0.13,0.23,13.4,0.07,0.78,6.3,17.9,17.2,0.23,6.5,1,26,26,26,7,29,28,23,13,11,23,6,6,16,12,28,27,24,20,30,8,3,6,28,24,25
1610612761,Toronto Raptors,82,25,57,0.305,48.3,44.7,91.2,0.491,0.17,36.3,0.376,15.6,19.8,0.789,11.2,34.0,0.17,0.13,13.9,0.57,0.27,4.7,18.1,18.4,0.2,6.4,1,25,25,25,10,28,24,26,26,21,24,5,5,19,28,23,26,27,13,13,23,19,9,19,25,24
1610612762,Utah Jazz,82,31,51,0.378,48.3,44.6,91.6,0.487,0.03,37.4,0.395,16.6,21.6,0.771,11.0,31.3,0.85,0.03,12.3,0.13,0.08,5.6,19.2,18.6,0.08,4.9,1,23,23,23,10,26,25,22,30,27,30,12,14,5,23,6,6,30,28,27,28,9,23,15,29,23
1610612764,Washington Wizards,82,15,67,0.183,48.1,46.1,92.9,0.496,0.75,33.9,0.362,18.6,24.0,0.777,12.1,36.8,0.03,0.07,14.0,0.3,0.18,5.1,18.0,20.0,0.03,9.3,1,29,29,29,23,30,29,29,8,10,13,26,27,10,30,30,30,29,9,22,26,14,8,6,30,29
