,PLAYER,LINE,ACTUAL,DIFF,STAT,MIN,TEAMODDS,TEAM
0,Jalen Brunson,28,25.2,-2.8000000000000007,PTS,34.4,0.74,New York Knicks
1,Karl-Anthony Towns,27,26.8,-0.1999999999999993,PTS,33.0,0.74,New York Knicks
2,Lauri Markkanen,22,18.8,-3.1999999999999993,PTS,31.4,-0.36999999999999994,Utah Jazz
3,Collin Sexton,18,15.9,-2.0999999999999996,PTS,26.6,-0.36999999999999994,Utah Jazz
4,Mikal Bridges,16,16.3,0.3000000000000007,PTS,38.6,0.74,New York Knicks
5,OG Anunoby,16,17.1,1.1000000000000014,PTS,36.3,0.74,New York Knicks
6,Josh Hart,13,14.1,1.0999999999999996,PTS,37.2,0.74,New York Knicks
7,Franz Wagner,28,23.2,-4.800000000000001,PTS,31.9,-0.5,Orlando Magic
8,Jaden Ivey,19,18.0,-1.0,PTS,31.8,-0.6699999999999999,Detroit Pistons
9,Jalen Suggs,17,15.5,-1.5,PTS,30.4,-0.5,Orlando Magic
10,Tobias Harris,15,14.2,-0.8000000000000007,PTS,33.2,-0.6699999999999999,Detroit Pistons
11,Jalen Duren,11,8.8,-2.1999999999999993,PTS,24.8,-0.6699999999999999,Detroit Pistons
12,Giannis Antetokounmpo,34,32.4,-1.6000000000000014,PTS,35.3,0.08999999999999997,Milwaukee Bucks
13,LaMelo Ball,30,28.9,-1.1000000000000014,PTS,33.2,-0.25,Charlotte Hornets
14,Damian Lillard,24,24.8,0.8000000000000007,PTS,35.9,0.08999999999999997,Milwaukee Bucks
15,Brandon Miller,22,18.6,-3.3999999999999986,PTS,32.1,-0.25,Charlotte Hornets
16,Bobby Portis,13,13.3,0.3000000000000007,PTS,23.9,0.08999999999999997,Milwaukee Bucks
17,Brook Lopez,12,12.3,0.3000000000000007,PTS,32.5,0.08999999999999997,Milwaukee Bucks
18,Desmond Bane,23,16.6,-6.399999999999999,PTS,28.0,0.8300000000000001,Memphis Grizzlies
19,Jaren Jackson Jr.,22,22.9,0.8999999999999986,PTS,28.9,0.8300000000000001,Memphis Grizzlies
20,Coby White,19,19.5,0.5,PTS,33.1,0.27,Chicago Bulls
21,Josh Giddey,12,12.1,0.09999999999999964,PTS,27.7,0.27,Chicago Bulls
22,Jalen Green,21,19.2,-1.8000000000000007,PTS,32.3,0.2,Houston Rockets
23,Alperen Sengun,19,18.1,-0.8999999999999986,PTS,29.2,0.2,Houston Rockets
24,Fred VanVleet,18,14.9,-3.0999999999999996,PTS,34.3,0.2,Houston Rockets
25,Anfernee Simons,17,15.6,-1.4000000000000004,PTS,29.1,-0.8300000000000001,Portland Trail Blazers
26,Jerami Grant,17,16.0,-1.0,PTS,33.0,-0.8300000000000001,Portland Trail Blazers
27,Victor Wembanyama,25,22.7,-2.3000000000000007,PTS,31.5,-0.59,San Antonio Spurs
28,Stephen Curry,25,22.7,-2.3000000000000007,PTS,29.5,0.15000000000000002,Golden State Warriors
29,Jonathan Kuminga,14,13.3,-0.6999999999999993,PTS,22.7,0.15000000000000002,Golden State Warriors
30,Draymond Green,9,9.2,0.1999999999999993,PTS,28.2,0.15000000000000002,Golden State Warriors
31,Anthony Davis,28,31.3,3.3000000000000007,PTS,35.2,0.5599999999999999,Los Angeles Lakers
32,LeBron James,25,24.0,-1.0,PTS,35.4,0.5599999999999999,Los Angeles Lakers
33,Jamal Murray,21,17.9,-3.1000000000000014,PTS,36.5,0.5700000000000001,Denver Nuggets
34,Michael Porter Jr.,18,18.2,0.1999999999999993,PTS,36.5,0.5700000000000001,Denver Nuggets
35,Austin Reaves,17,17.3,0.3000000000000007,PTS,34.5,0.5599999999999999,Los Angeles Lakers
36,Karl-Anthony Towns,12,12.2,0.1999999999999993,REB,33.0,-0.44999999999999996,New York Knicks
37,Josh Hart,9,9.0,0.0,REB,37.2,-0.44999999999999996,New York Knicks
38,Lauri Markkanen,7,6.3,-0.7000000000000002,REB,31.4,-0.47,Utah Jazz
39,OG Anunoby,6,5.5,-0.5,REB,36.3,-0.44999999999999996,New York Knicks
40,Mikal Bridges,4,3.9,-0.10000000000000009,REB,38.6,-0.44999999999999996,New York Knicks
41,Jalen Brunson,3,2.9,-0.10000000000000009,REB,34.4,-0.44999999999999996,New York Knicks
42,Collin Sexton,3,2.7,-0.2999999999999998,REB,26.6,-0.47,Utah Jazz
43,Jalen Duren,10,10.4,0.40000000000000036,REB,24.8,0.1100000000000001,Detroit Pistons
44,Tobias Harris,7,7.5,0.5,REB,33.2,0.1100000000000001,Detroit Pistons
45,Franz Wagner,7,5.6,-1.4000000000000004,REB,31.9,-0.52,Orlando Magic
46,Jalen Suggs,5,4.6,-0.40000000000000036,REB,30.4,-0.52,Orlando Magic
47,Jaden Ivey,4,4.5,0.5,REB,31.8,0.1100000000000001,Detroit Pistons
48,Giannis Antetokounmpo,13,12.0,-1.0,REB,35.3,-0.10000000000000009,Milwaukee Bucks
49,Bobby Portis,8,7.6,-0.40000000000000036,REB,23.9,-0.10000000000000009,Milwaukee Bucks
50,LaMelo Ball,6,4.9,-1.0999999999999996,REB,33.2,0.6199999999999999,Charlotte Hornets
51,Brandon Miller,6,4.4,-1.5999999999999996,REB,32.1,0.6199999999999999,Charlotte Hornets
52,Brook Lopez,6,5.3,-0.7000000000000002,REB,32.5,-0.10000000000000009,Milwaukee Bucks
53,Damian Lillard,4,4.6,0.5999999999999996,REB,35.9,-0.10000000000000009,Milwaukee Bucks
54,Josh Giddey,7,6.2,-0.7999999999999998,REB,27.7,0.19999999999999996,Chicago Bulls
55,Jaren Jackson Jr.,7,5.7,-1.2999999999999998,REB,28.9,0.77,Memphis Grizzlies
56,Desmond Bane,6,6.6,0.5999999999999996,REB,28.0,0.77,Memphis Grizzlies
57,Coby White,4,3.4,-0.6000000000000001,REB,33.1,0.19999999999999996,Chicago Bulls
58,Alperen Sengun,11,10.9,-0.09999999999999964,REB,29.2,0.8,Houston Rockets
59,Jalen Green,5,4.9,-0.09999999999999964,REB,32.3,0.8,Houston Rockets
60,Fred VanVleet,4,4.3,0.2999999999999998,REB,34.3,0.8,Houston Rockets
61,Jerami Grant,4,3.5,-0.5,REB,33.0,0.13,Portland Trail Blazers
62,Anfernee Simons,3,2.0,-1.0,REB,29.1,0.13,Portland Trail Blazers
