,PLAYER,LINE,ACTUAL,DIFF,STAT,MIN,TEAMODDS,TEAM
0,Giannis Antetokounmpo,36,33.3,-2.700000000000003,PTS,35.4,-0.19999999999999996,Milwaukee Bucks
1,LaMelo Ball,28,29.9,1.8999999999999986,PTS,33.6,-0.26999999999999996,Charlotte Hornets
2,Brandon Miller,18,15.7,-2.3000000000000007,PTS,29.1,-0.26999999999999996,Charlotte Hornets
3,Brook Lopez,15,11.0,-4.0,PTS,31.9,-0.19999999999999996,Milwaukee Bucks
4,AJ Green,11,7.8,-3.2,PTS,17.4,-0.19999999999999996,Milwaukee Bucks
5,Taurean Prince,11,8.3,-2.6999999999999993,PTS,29.7,-0.19999999999999996,Milwaukee Bucks
6,Delon Wright,7,1.9,-5.1,PTS,15.8,-0.19999999999999996,Milwaukee Bucks
7,Josh Green,6,4.6,-1.4000000000000004,PTS,23.1,-0.26999999999999996,Charlotte Hornets
8,Jayson Tatum,28,30.2,2.1999999999999993,PTS,36.1,0.82,Boston Celtics
9,Jaylen Brown,25,25.4,0.3999999999999986,PTS,36.2,0.82,Boston Celtics
10,RJ Barrett,23,21.4,-1.6000000000000014,PTS,33.1,-0.42999999999999994,Toronto Raptors
11,Gradey Dick,19,19.8,0.8000000000000007,PTS,32.6,-0.42999999999999994,Toronto Raptors
12,Derrick White,17,19.0,2.0,PTS,33.8,0.82,Boston Celtics
13,Jrue Holiday,13,12.8,-0.1999999999999993,PTS,30.8,0.82,Boston Celtics
14,Ochai Agbaji,11,13.2,2.1999999999999993,PTS,31.8,-0.42999999999999994,Toronto Raptors
15,Davion Mitchell,9,8.1,-0.9000000000000004,PTS,28.7,-0.42999999999999994,Toronto Raptors
16,Al Horford,9,8.6,-0.40000000000000036,PTS,26.6,0.82,Boston Celtics
17,Anthony Davis,29,31.1,2.1000000000000014,PTS,34.9,0.45999999999999996,Los Angeles Lakers
18,Brandon Ingram,27,23.0,-4.0,PTS,33.3,-0.13,New Orleans Pelicans
19,LeBron James,24,23.5,-0.5,PTS,35.2,0.45999999999999996,Los Angeles Lakers
20,Austin Reaves,18,18.7,0.6999999999999993,PTS,34.2,0.45999999999999996,Los Angeles Lakers
21,Trey Murphy III,17,14.3,-2.6999999999999993,PTS,27.2,-0.13,New Orleans Pelicans
22,Javonte Green,9,5.4,-3.5999999999999996,PTS,22.9,-0.13,New Orleans Pelicans
23,Yves Missi,9,6.8,-2.2,PTS,23.1,-0.13,New Orleans Pelicans
24,Victor Wembanyama,25,22.7,-2.3000000000000007,PTS,31.5,-0.33,San Antonio Spurs
25,Kyrie Irving,23,25.2,2.1999999999999993,PTS,35.6,-0.27,Dallas Mavericks
26,Klay Thompson,16,14.8,-1.1999999999999993,PTS,30.2,-0.27,Dallas Mavericks
27,Stephon Castle,12,9.7,-2.3000000000000007,PTS,24.3,-0.33,San Antonio Spurs
28,Harrison Barnes,11,9.6,-1.4000000000000004,PTS,28.6,-0.33,San Antonio Spurs
29,Julian Champagnie,10,10.7,0.6999999999999993,PTS,28.5,-0.33,San Antonio Spurs
30,Chris Paul,9,10.4,1.4000000000000004,PTS,28.6,-0.33,San Antonio Spurs
31,De'Aaron Fox,27,27.3,0.3000000000000007,PTS,37.4,0.61,Sacramento Kings
32,DeMar DeRozan,24,22.9,-1.1000000000000014,PTS,36.5,0.61,Sacramento Kings
33,Domantas Sabonis,20,20.2,0.1999999999999993,PTS,36.5,0.61,Sacramento Kings
34,Lauri Markkanen,19,16.3,-2.6999999999999993,PTS,29.3,-0.30000000000000004,Utah Jazz
35,John Collins,16,18.1,2.1000000000000014,PTS,26.3,-0.30000000000000004,Utah Jazz
36,Collin Sexton,16,15.7,-0.3000000000000007,PTS,26.7,-0.30000000000000004,Utah Jazz
37,Keegan Murray,15,13.8,-1.1999999999999993,PTS,37.6,0.61,Sacramento Kings
38,Keyonte George,14,14.8,0.8000000000000007,PTS,31.8,-0.30000000000000004,Utah Jazz
39,Kevin Huerter,12,10.7,-1.3000000000000007,PTS,27.2,0.61,Sacramento Kings
40,Giannis Antetokounmpo,14,12.1,-1.9000000000000004,REB,35.4,-0.22999999999999998,Milwaukee Bucks
41,Brook Lopez,6,5.1,-0.9000000000000004,REB,31.9,-0.22999999999999998,Milwaukee Bucks
42,LaMelo Ball,6,5.0,-1.0,REB,33.6,0.62,Charlotte Hornets
43,Taurean Prince,6,5.7,-0.2999999999999998,REB,29.7,-0.22999999999999998,Milwaukee Bucks
44,Brandon Miller,5,4.1,-0.9000000000000004,REB,29.1,0.62,Charlotte Hornets
45,Delon Wright,4,1.2,-2.8,REB,15.8,-0.22999999999999998,Milwaukee Bucks
46,AJ Green,4,1.6,-2.4,REB,17.4,-0.22999999999999998,Milwaukee Bucks
47,Josh Green,3,1.6,-1.4,REB,23.1,0.62,Charlotte Hornets
48,Jayson Tatum,9,7.6,-1.4000000000000004,REB,36.1,-0.18999999999999995,Boston Celtics
49,Al Horford,7,5.5,-1.5,REB,26.6,-0.18999999999999995,Boston Celtics
50,Jaylen Brown,6,7.2,1.2000000000000002,REB,36.2,-0.18999999999999995,Boston Celtics
51,RJ Barrett,6,5.8,-0.20000000000000018,REB,33.1,0.13,Toronto Raptors
52,Derrick White,5,4.5,-0.5,REB,33.8,-0.18999999999999995,Boston Celtics
53,Jrue Holiday,5,3.9,-1.1,REB,30.8,-0.18999999999999995,Boston Celtics
54,Ochai Agbaji,5,4.8,-0.20000000000000018,REB,31.8,0.13,Toronto Raptors
55,Gradey Dick,4,2.8,-1.2000000000000002,REB,32.6,0.13,Toronto Raptors
56,Davion Mitchell,3,2.9,-0.10000000000000009,REB,28.7,0.13,Toronto Raptors
57,Anthony Davis,13,10.9,-2.0999999999999996,REB,34.9,-0.8,Los Angeles Lakers
58,LeBron James,9,8.8,-0.1999999999999993,REB,35.2,-0.8,Los Angeles Lakers
59,Yves Missi,8,6.7,-1.2999999999999998,REB,23.1,-0.24000000000000005,New Orleans Pelicans
60,Brandon Ingram,6,6.2,0.20000000000000018,REB,33.3,-0.24000000000000005,New Orleans Pelicans
61,Trey Murphy III,5,5.0,0.0,REB,27.2,-0.24000000000000005,New Orleans Pelicans
62,Javonte Green,5,3.2,-1.7999999999999998,REB,22.9,-0.24000000000000005,New Orleans Pelicans
63,Austin Reaves,4,4.2,0.20000000000000018,REB,34.2,-0.8,Los Angeles Lakers
64,Victor Wembanyama,12,10.5,-1.5,REB,31.5,0.55,San Antonio Spurs
65,Julian Champagnie,6,5.5,-0.5,REB,28.5,0.55,San Antonio Spurs
66,Kyrie Irving,4,4.6,0.5999999999999996,REB,35.6,-0.55,Dallas Mavericks
67,Harrison Barnes,4,3.9,-0.10000000000000009,REB,28.6,0.55,San Antonio Spurs
68,Klay Thompson,4,3.7,-0.2999999999999998,REB,30.2,-0.55,Dallas Mavericks
69,Chris Paul,4,3.6,-0.3999999999999999,REB,28.6,0.55,San Antonio Spurs
70,Stephon Castle,3,2.5,-0.5,REB,24.3,0.55,San Antonio Spurs
71,Domantas Sabonis,13,12.5,-0.5,REB,36.5,0.030000000000000027,Sacramento Kings
72,John Collins,10,7.8,-2.2,REB,26.3,0.050000000000000044,Utah Jazz
73,Lauri Markkanen,8,6.1,-1.9000000000000004,REB,29.3,0.050000000000000044,Utah Jazz
74,Keegan Murray,7,8.2,1.1999999999999993,REB,37.6,0.030000000000000027,Sacramento Kings
75,De'Aaron Fox,6,5.2,-0.7999999999999998,REB,37.4,0.030000000000000027,Sacramento Kings
76,Kevin Huerter,4,3.8,-0.20000000000000018,REB,27.2,0.030000000000000027,Sacramento Kings
77,DeMar DeRozan,4,4.1,0.09999999999999964,REB,36.5,0.030000000000000027,Sacramento Kings
78,Collin Sexton,3,2.9,-0.10000000000000009,REB,26.7,0.050000000000000044,Utah Jazz
79,Keyonte George,3,2.8,-0.20000000000000018,REB,31.8,0.050000000000000044,Utah Jazz
80,Giannis Antetokounmpo,7,5.5,-1.5,AST,35.4,-0.27,Milwaukee Bucks
81,LaMelo Ball,7,6.3,-0.7000000000000002,AST,33.6,-0.19999999999999998,Charlotte Hornets
82,Delon Wright,4,1.8,-2.2,AST,15.8,-0.27,Milwaukee Bucks
83,Brandon Miller,3,3.9,0.8999999999999999,AST,29.1,-0.19999999999999998,Charlotte Hornets
84,Taurean Prince,3,2.0,-1.0,AST,29.7,-0.27,Milwaukee Bucks
85,Davion Mitchell,7,6.1,-0.9000000000000004,AST,28.7,0.030000000000000027,Toronto Raptors
86,Jayson Tatum,7,5.6,-1.4000000000000004,AST,36.1,-0.02999999999999997,Boston Celtics
87,RJ Barrett,6,5.8,-0.20000000000000018,AST,33.1,0.030000000000000027,Toronto Raptors
88,Derrick White,5,4.3,-0.7000000000000002,AST,33.8,-0.02999999999999997,Boston Celtics
89,Jrue Holiday,5,4.0,-1.0,AST,30.8,-0.02999999999999997,Boston Celtics
90,Jaylen Brown,4,3.7,-0.2999999999999998,AST,36.2,-0.02999999999999997,Boston Celtics
91,LeBron James,10,9.6,-0.40000000000000036,AST,35.2,0.52,Los Angeles Lakers
92,Brandon Ingram,7,5.2,-1.7999999999999998,AST,33.3,0.1,New Orleans Pelicans
93,Austin Reaves,6,5.3,-0.7000000000000002,AST,34.2,0.52,Los Angeles Lakers
94,Anthony Davis,3,2.7,-0.2999999999999998,AST,34.9,0.52,Los Angeles Lakers
95,Trey Murphy III,3,1.7,-1.3,AST,27.2,0.1,New Orleans Pelicans
96,Chris Paul,9,8.8,-0.1999999999999993,AST,28.6,0.52,San Antonio Spurs
97,Kyrie Irving,5,4.9,-0.09999999999999964,AST,35.6,-0.39,Dallas Mavericks
98,Victor Wembanyama,4,2.8,-1.2000000000000002,AST,31.5,0.52,San Antonio Spurs
99,Stephon Castle,4,3.2,-0.7999999999999998,AST,24.3,0.52,San Antonio Spurs
100,Domantas Sabonis,7,6.6,-0.40000000000000036,AST,36.5,0.2,Sacramento Kings
101,De'Aaron Fox,6,5.3,-0.7000000000000002,AST,37.4,0.2,Sacramento Kings
102,Keyonte George,5,6.1,1.0999999999999996,AST,31.8,-0.25,Utah Jazz
103,DeMar DeRozan,5,4.1,-0.9000000000000004,AST,36.5,0.2,Sacramento Kings
104,Collin Sexton,4,3.1,-0.8999999999999999,AST,26.7,-0.25,Utah Jazz
105,Kevin Huerter,3,2.5,-0.5,AST,27.2,0.2,Sacramento Kings
106,Lauri Markkanen,3,2.8,-0.20000000000000018,AST,29.3,-0.25,Utah Jazz
107,LaMelo Ball,5,4.9,-0.09999999999999964,FG3M,33.6,0.8,Charlotte Hornets
108,Brandon Miller,3,2.9,-0.10000000000000009,FG3M,29.1,0.8,Charlotte Hornets
109,AJ Green,3,2.5,-0.5,FG3M,17.4,-0.13,Milwaukee Bucks
110,Taurean Prince,3,2.1,-0.8999999999999999,FG3M,29.7,-0.13,Milwaukee Bucks
111,Brook Lopez,2,1.7,-0.30000000000000004,FG3M,31.9,-0.13,Milwaukee Bucks
112,Delon Wright,1,0.3,-0.7,FG3M,15.8,-0.13,Milwaukee Bucks
113,Jayson Tatum,4,4.2,0.20000000000000018,FG3M,36.1,0.07999999999999996,Boston Celtics
114,Derrick White,4,3.8,-0.20000000000000018,FG3M,33.8,0.07999999999999996,Boston Celtics
115,Gradey Dick,3,2.5,-0.5,FG3M,32.6,-0.7,Toronto Raptors
116,Jaylen Brown,3,2.0,-1.0,FG3M,36.2,0.07999999999999996,Boston Celtics
117,RJ Barrett,2,2.0,0.0,FG3M,33.1,-0.7,Toronto Raptors
118,Al Horford,2,2.0,0.0,FG3M,26.6,0.07999999999999996,Boston Celtics
119,Jrue Holiday,2,1.8,-0.19999999999999996,FG3M,30.8,0.07999999999999996,Boston Celtics
120,Ochai Agbaji,2,1.8,-0.19999999999999996,FG3M,31.8,-0.7,Toronto Raptors
121,Davion Mitchell,2,1.0,-1.0,FG3M,28.7,-0.7,Toronto Raptors
122,Trey Murphy III,3,2.0,-1.0,FG3M,27.2,-0.37,New Orleans Pelicans
123,Austin Reaves,3,2.9,-0.10000000000000009,FG3M,34.2,0.13999999999999996,Los Angeles Lakers
124,Brandon Ingram,3,2.5,-0.5,FG3M,33.3,-0.37,New Orleans Pelicans
125,LeBron James,2,2.4,0.3999999999999999,FG3M,35.2,0.13999999999999996,Los Angeles Lakers
126,Javonte Green,1,0.7,-0.30000000000000004,FG3M,22.9,-0.37,New Orleans Pelicans
127,Anthony Davis,1,0.9,-0.09999999999999998,FG3M,34.9,0.13999999999999996,Los Angeles Lakers
128,Klay Thompson,4,3.3,-0.7000000000000002,FG3M,30.2,-0.06000000000000005,Dallas Mavericks
129,Victor Wembanyama,3,2.9,-0.10000000000000009,FG3M,31.5,0.06999999999999995,San Antonio Spurs
130,Kyrie Irving,3,3.0,0.0,FG3M,35.6,-0.06000000000000005,Dallas Mavericks
131,Julian Champagnie,3,2.3,-0.7000000000000002,FG3M,28.5,0.06999999999999995,San Antonio Spurs
132,Chris Paul,2,1.9,-0.10000000000000009,FG3M,28.6,0.06999999999999995,San Antonio Spurs
133,Keegan Murray,3,1.8,-1.2,FG3M,37.6,-0.07,Sacramento Kings
134,Keyonte George,3,2.6,-0.3999999999999999,FG3M,31.8,0.26,Utah Jazz
135,Lauri Markkanen,3,2.3,-0.7000000000000002,FG3M,29.3,0.26,Utah Jazz
136,Kevin Huerter,3,1.8,-1.2,FG3M,27.2,-0.07,Sacramento Kings
137,De'Aaron Fox,3,2.1,-0.8999999999999999,FG3M,37.4,-0.07,Sacramento Kings
138,Collin Sexton,2,1.4,-0.6000000000000001,FG3M,26.7,0.26,Utah Jazz
139,John Collins,1,1.2,0.19999999999999996,FG3M,26.3,0.26,Utah Jazz
140,DeMar DeRozan,1,0.8,-0.19999999999999996,FG3M,36.5,-0.07,Sacramento Kings
141,Domantas Sabonis,1,0.9,-0.09999999999999998,FG3M,36.5,-0.07,Sacramento Kings
