,PLAYER,LINE,ACTUAL,DIFF,STAT,MIN,TEAMODDS,TEAM
0,LaMelo Ball,28,28.4,0.3999999999999986,PTS,33.2,-0.48,Charlotte Hornets
1,Cade Cunningham,24,23.3,-0.6999999999999993,PTS,36.3,-0.10000000000000003,Detroit Pistons
2,Jaden Ivey,19,18.5,-0.5,PTS,32.3,-0.10000000000000003,Detroit Pistons
3,Brandon Miller,19,16.7,-2.3000000000000007,PTS,31.0,-0.48,Charlotte Hornets
4,Miles Bridges,17,16.0,-1.0,PTS,30.1,-0.48,Charlotte Hornets
5,Tobias Harris,14,13.5,-0.5,PTS,33.4,-0.10000000000000003,Detroit Pistons
6,Jalen Duren,12,9.1,-2.9000000000000004,PTS,24.8,-0.10000000000000003,Detroit Pistons
7,Tim Hardaway Jr.,11,11.7,0.6999999999999993,PTS,28.6,-0.10000000000000003,Detroit Pistons
8,Grant Williams,10,10.4,0.40000000000000036,PTS,29.1,-0.48,Charlotte Hornets
9,Josh Green,7,6.2,-0.7999999999999998,PTS,24.3,-0.48,Charlotte Hornets
10,Anthony Edwards,27,28.1,1.1000000000000014,PTS,37.1,0.4,Minnesota Timberwolves
11,Julius Randle,23,21.6,-1.3999999999999986,PTS,34.0,0.4,Minnesota Timberwolves
12,RJ Barrett,23,23.2,0.1999999999999993,PTS,34.1,-0.19999999999999996,Toronto Raptors
13,Jakob Poeltl,17,17.1,0.10000000000000142,PTS,32.9,-0.19999999999999996,Toronto Raptors
14,Naz Reid,15,15.2,0.1999999999999993,PTS,24.7,0.4,Minnesota Timberwolves
15,Rudy Gobert,12,10.9,-1.0999999999999996,PTS,32.9,0.4,Minnesota Timberwolves
16,Jaden McDaniels,11,10.1,-0.9000000000000004,PTS,29.7,0.4,Minnesota Timberwolves
17,Mike Conley,11,7.5,-3.5,PTS,25.0,0.4,Minnesota Timberwolves
18,Lauri Markkanen,22,18.0,-4.0,PTS,31.3,-0.63,Utah Jazz
19,Collin Sexton,17,15.8,-1.1999999999999993,PTS,26.8,-0.63,Utah Jazz
