,PLAYER,LINE,ACTUAL,DIFF,STAT,MIN,TEAMODDS,TEAM
0,Jayson Tatum,27,29.1,2.1000000000000014,PTS,36.6,0.27,Boston Celtics
1,Anthony Edwards,26,27.9,1.8999999999999986,PTS,37.1,-0.19999999999999996,Minnesota Timberwolves
2,Jaylen Brown,24,25.3,1.3000000000000007,PTS,36.9,0.27,Boston Celtics
3,Julius Randle,22,21.7,-0.3000000000000007,PTS,34.3,-0.19999999999999996,Minnesota Timberwolves
4,Derrick White,16,18.4,2.3999999999999986,PTS,34.9,0.27,Boston Celtics
5,Payton Pritchard,13,14.9,1.9000000000000004,PTS,27.7,0.27,Boston Celtics
6,Naz Reid,13,14.3,1.3000000000000007,PTS,24.5,-0.19999999999999996,Minnesota Timberwolves
7,Jrue Holiday,11,12.9,1.9000000000000004,PTS,30.4,0.27,Boston Celtics
8,Jaden McDaniels,11,10.9,-0.09999999999999964,PTS,30.5,-0.19999999999999996,Minnesota Timberwolves
9,Rudy Gobert,11,11.0,0.0,PTS,33.0,-0.19999999999999996,Minnesota Timberwolves
10,Donte DiVincenzo,11,9.5,-1.5,PTS,26.0,-0.19999999999999996,Minnesota Timberwolves
11,Al Horford,9,10.2,1.1999999999999993,PTS,27.4,0.27,Boston Celtics
12,Kyle Kuzma,24,17.4,-6.600000000000001,PTS,28.7,0.07,Washington Wizards
13,Pascal Siakam,24,20.8,-3.1999999999999993,PTS,34.0,0.56,Indiana Pacers
14,Bennedict Mathurin,21,18.9,-2.1000000000000014,PTS,31.0,0.56,Indiana Pacers
15,Myles Turner,19,16.9,-2.1000000000000014,PTS,32.6,0.56,Indiana Pacers
16,Tyrese Haliburton,19,15.5,-3.5,PTS,34.8,0.56,Indiana Pacers
17,Bilal Coulibaly,14,14.1,0.09999999999999964,PTS,35.0,0.07,Washington Wizards
18,Corey Kispert,13,11.1,-1.9000000000000004,PTS,28.8,0.07,Washington Wizards
19,T.J. McConnell,11,9.9,-1.0999999999999996,PTS,18.5,0.56,Indiana Pacers
20,Alexandre Sarr,11,9.5,-1.5,PTS,25.8,0.07,Washington Wizards
21,Obi Toppin,10,9.4,-0.5999999999999996,PTS,20.4,0.56,Indiana Pacers
22,James Harden,24,20.4,-3.6000000000000014,PTS,34.9,-0.42999999999999994,LA Clippers
23,Jared McCain,22,16.5,-5.5,PTS,23.7,-0.8300000000000001,Philadelphia 76ers
24,Tyrese Maxey,22,25.2,3.1999999999999993,PTS,36.0,-0.8300000000000001,Philadelphia 76ers
25,Ivica Zubac,16,15.1,-0.9000000000000004,PTS,33.7,-0.42999999999999994,LA Clippers
26,Kevin Porter Jr.,13,8.6,-4.4,PTS,17.7,-0.42999999999999994,LA Clippers
27,Amir Coffey,11,10.1,-0.9000000000000004,PTS,24.3,-0.42999999999999994,LA Clippers
28,Guerschon Yabusele,11,9.3,-1.6999999999999993,PTS,21.8,-0.8300000000000001,Philadelphia 76ers
29,Caleb Martin,10,10.3,0.3000000000000007,PTS,33.3,-0.8300000000000001,Philadelphia 76ers
30,Derrick Jones Jr.,10,10.3,0.3000000000000007,PTS,26.1,-0.42999999999999994,LA Clippers
