,PLAYER,LINE,ACTUAL,DIFF,STAT,MIN,TEAMODDS,TEAM
0,Zach LaVine,24,22.7,-1.3000000000000007,PTS,34.1,0.73,Chicago Bulls
1,Jordan Poole,21,21.2,0.1999999999999993,PTS,30.2,0.14,Washington Wizards
2,Kyle Kuzma,21,16.7,-4.300000000000001,PTS,28.9,0.14,Washington Wizards
3,Coby White,20,19.1,-0.8999999999999986,PTS,32.9,0.73,Chicago Bulls
4,Bilal Coulibaly,13,14.3,1.3000000000000007,PTS,35.2,0.14,Washington Wizards
5,Josh Giddey,12,12.1,0.09999999999999964,PTS,27.3,0.73,Chicago Bulls
6,Giannis Antetokounmpo,31,32.4,1.3999999999999986,PTS,35.0,-0.24,Milwaukee Bucks
7,Damian Lillard,24,25.2,1.1999999999999993,PTS,35.8,-0.24,Milwaukee Bucks
8,Tyler Herro,22,23.8,1.8000000000000007,PTS,34.4,-0.09999999999999998,Miami Heat
9,Jimmy Butler,21,19.2,-1.8000000000000007,PTS,31.6,-0.09999999999999998,Miami Heat
10,Bam Adebayo,18,16.5,-1.5,PTS,35.4,-0.09999999999999998,Miami Heat
11,Brook Lopez,12,12.3,0.3000000000000007,PTS,32.9,-0.24,Milwaukee Bucks
12,Anthony Edwards,28,27.9,-0.10000000000000142,PTS,37.2,-0.43000000000000005,Minnesota Timberwolves
13,Julius Randle,21,21.8,0.8000000000000007,PTS,34.4,-0.43000000000000005,Minnesota Timberwolves
14,Alperen Sengun,19,18.3,-0.6999999999999993,PTS,29.5,-0.16000000000000003,Houston Rockets
15,Jalen Green,19,18.7,-0.3000000000000007,PTS,32.1,-0.16000000000000003,Houston Rockets
16,Fred VanVleet,16,14.5,-1.5,PTS,33.9,-0.16000000000000003,Houston Rockets
17,Jaden McDaniels,12,10.9,-1.0999999999999996,PTS,30.6,-0.43000000000000005,Minnesota Timberwolves
18,Rudy Gobert,11,10.9,-0.09999999999999964,PTS,33.1,-0.43000000000000005,Minnesota Timberwolves
19,Mike Conley,9,7.5,-1.5,PTS,25.0,-0.43000000000000005,Minnesota Timberwolves
20,Victor Wembanyama,27,22.9,-4.100000000000001,PTS,31.7,0.2,San Antonio Spurs
21,Lauri Markkanen,24,19.9,-4.100000000000001,PTS,31.6,-0.59,Utah Jazz
22,Collin Sexton,19,16.5,-2.5,PTS,27.3,-0.59,Utah Jazz
23,John Collins,19,17.8,-1.1999999999999993,PTS,27.9,-0.59,Utah Jazz
24,Keyonte George,16,14.9,-1.0999999999999996,PTS,31.4,-0.59,Utah Jazz
25,Stephon Castle,14,10.9,-3.0999999999999996,PTS,26.2,0.2,San Antonio Spurs
26,Harrison Barnes,13,11.5,-1.5,PTS,29.2,0.2,San Antonio Spurs
27,Chris Paul,10,10.7,0.6999999999999993,PTS,28.6,0.2,San Antonio Spurs
28,Walker Kessler,10,9.4,-0.5999999999999996,PTS,27.3,-0.59,Utah Jazz
29,Anthony Davis,30,30.1,0.10000000000000142,PTS,35.2,0.39999999999999997,Los Angeles Lakers
30,Devin Booker,26,24.1,-1.8999999999999986,PTS,36.7,0.19999999999999998,Phoenix Suns
