0
FGR
ICA1
CFLAR
CD38
MPO
ITGAL
ITGA3
LAMP2
CX3CL1
TNFRSF12A
CCL26
IL32
CD9
CD4
BTK
FYN
MRC2
DCN
TYROBP
BRCA1
LTF
BID
IL20RA
IGF1
MARCO
SNAI2
CD74
HGF
ADGRA2
RUNX3
NRXN3
NLRP2
NR1H3
VIM
FAS
CD44
IFNGR1
TNFRSF1B
CASR
VCAN
MSR1
CDH1
EPHA3
TNFRSF17
COL9A2
KITLG
TNFRSF9
FOXP3
LY75
RELT
IL17RB
ATG5
YBX3
COL11A1
CASP8
NGFR
ERBB3
COL17A1
TIE1
CD84
FGFR2
TNFRSF1A
HDAC4
FGFR3
ADGRF5
CLEC2D
RORA
CDH19
ADGRL1
SREBF1
CD5L
PTGS2
ST6GAL1
TBX21
NOTCH3
ENO1
TXK
CELSR1
ACACB
ICAM3
MCAM
RARB
IL4R
FGFR1
ITGA8
CST7
LAMP3
FAP
ITM2A
CEACAM1
COL5A3
HSP90AA1
TCF7
PTPRC
IL12RB2
FYB1
PGR
ITGB5
P2RX5
ITGAE
GSTP1
COL16A1
CD59
MECOM
WNT11
CEACAM6
HSD17B2
BAX
MMP2
OAS1
BIRC5
LAG3
RGS1
ICAM1
LYZ
FLT3LG
CD209
EFNB1
NLRC4
ITGA6
NLRP1
ESR1
ANGPT2
COL9A3
EZR
TGFB2
PTGS1
SORBS1
IL11
FKBP5
HSP90AB1
JAK2
IL12RB1
ABL1
GADD45B
SMARCB1
OSM
LGALS1
XBP1
PDGFB
CSF2RB
UPK3A
IL2RB
CTSG
GZMH
GZMB
CDKN3
HIF1A
TCL1A
DHRS2
NFKBIA
SEC23A
MMP9
CD40
BMP7
PTK6
MYL9
HCK
JAG1
MYL12A
TLR8
CD40LG
TIMP1
TNFSF13B
FGF9
FLT1
RGCC
TSC22D1
OLFM4
COTL1
FOXF1
CSK
CD276
FZD3
CALB1
NDRG1
IL7
TNFRSF10A
CD37
IL27RA
TGFB1
CD79A
NKG7
CD33
TYK2
ITGB8
CAV1
MET
EPHB6
HSPB1
EZH2
RARRES2
AGR2
AHR
MYL7
TGFBR1
TNFSF8
ENG
DDX58
PTGDS
GATA3
CXCL12
VSIR
SPOCK2
BMPR1A
ACTA2
KRT23
CSF3
RNF43
WNT3
PFN1
ICAM2
LGALS3BP
CCL2
CCL8
COL1A1
HDAC5
VTN
NFKB1
AREG
IL2
RPL34
BST1
CRYAB
MS4A6A
MS4A4A
CCND1
IL10RA
CD81
VWF
CD69
CLEC2B
SELPLG
IL23A
PTGES3
KRT18
WNT5B
LTBR
OAS3
OAS2
MGP
ARHGDIB
IFNG
NANOG
CLEC4A
KLRB1
COL12A1
PPARD
MAPK14
SOD2
IL17A
CD83
BMP5
ADGRG6
TFEB
VEGFA
GZMK
ITK
IL12B
NPR3
FGF1
